Month,S-Index,Total,S-Index+bot,Total+bot
2005-12,288,501131,288,501131
2006-01,301,559304,301,559304
2006-02,320,624972,320,624972
2006-03,341,697973,341,697973
2006-04,361,775741,361,775741
2006-05,375,859252,375,859252
2006-06,391,933505,391,933505
2006-07,399,1001106,399,1001106
2006-08,408,1088997,408,1088997
2006-09,422,1147853,422,1147853
2006-10,420,1237998,420,1237998
2006-11,424,1319520,424,1319520
2006-12,426,1384513,426,1384513
2007-01,441,1468170,441,1468170
2007-02,449,1563704,449,1563704
2007-03,467,1636429,467,1636429
2007-04,478,1708852,478,1708852
2007-05,487,1794261,487,1794261
2007-06,495,1854117,495,1854117
2007-07,507,1930110,507,1930110
2007-08,502,1971155,502,1971155
2007-09,508,2040848,508,2040848
2007-10,513,2065492,514,2066018
2007-11,520,2135288,521,2136424
2007-12,516,2207515,517,2209073
2008-01,507,2209397,508,2211033
2008-02,508,2210994,508,2212879
2008-03,498,2202497,498,2204558
2008-04,500,2204580,501,2206918
2008-05,489,2151703,490,2154089
2008-06,476,2107947,477,2110417
2008-07,473,2121679,474,2124272
2008-08,467,2066795,468,2069413
2008-09,461,1986527,462,1989441
2008-10,457,1918890,458,1922757
2008-11,443,1812993,445,1817039
2008-12,436,1798239,438,1802365
2009-01,433,1979618,435,1986063
2009-02,431,2105725,433,2119533
2009-03,430,2096064,433,2118959
2009-04,431,2028626,434,2067919
2009-05,420,1977982,423,2030795
2009-06,414,1959544,418,2026881
2009-07,410,1859758,414,1930188
2009-08,406,1832132,411,1903544
2009-09,399,1816760,405,1889865
2009-10,391,1783667,398,1870950
2009-11,387,1756272,391,1853552
2009-12,383,1649529,387,1760250
2010-01,375,1403597,379,1529041
2010-02,371,1189678,377,1321474
2010-03,369,1165661,374,1308538
2010-04,368,1143314,372,1279996
2010-05,365,1145236,370,1280476
2010-06,357,1135421,365,1269033
2010-07,353,1129233,360,1270127
2010-08,356,1121940,361,1270573
2010-09,346,1118981,351,1277430
2010-10,345,1106163,349,1263674
2010-11,344,1100893,349,1261470
2010-12,345,1095412,350,1250909
2011-01,338,1097417,345,1254623
2011-02,333,1098484,342,1259891
2011-03,329,1048028,336,1208308
2011-04,324,1031785,330,1192443
2011-05,319,1022600,324,1181745
2011-06,317,1008374,321,1168927
2011-07,318,1006749,322,1172886
2011-08,311,1012293,318,1207547
2011-09,308,1002151,314,1228448
2011-10,306,1027079,312,1273157
2011-11,301,1021371,305,1285357
2011-12,302,1080089,308,1351360
2012-01,298,1093788,303,1361636
2012-02,294,1067552,300,1327987
2012-03,288,1060548,294,1317729
2012-04,288,1059397,294,1316944
2012-05,286,1051100,290,1310396
2012-06,283,1035058,289,1290857
2012-07,286,1008669,291,1258480
2012-08,288,974689,294,1221233
2012-09,294,949970,298,1206781
2012-10,289,906146,294,1164219
2012-11,287,883694,290,1135823
2012-12,286,800855,288,1043424
2013-01,279,748632,282,991867
2013-02,270,730961,273,974518
2013-03,269,718337,272,956544
2013-04,269,710556,271,944082
2013-05,273,700057,275,940853
2013-06,267,703383,270,975328
2013-07,265,702718,268,1020667
2013-08,264,702415,266,1033956
2013-09,262,730456,265,1009054
2013-10,260,739617,262,1070916
2013-11,262,756530,266,1206468
2013-12,263,771164,266,1283575
2014-01,261,783425,265,1302797
2014-02,265,798099,268,1322366
2014-03,264,810089,268,1335947
2014-04,259,806065,263,1340043
2014-05,260,805696,264,1333564
2014-06,259,800705,262,1301567
2014-07,260,802392,264,1254505
2014-08,260,802619,264,1213851
2014-09,257,774933,260,1190610
2014-10,254,765304,258,1108498
2014-11,255,751634,258,962425
2014-12,250,740769,254,915205
2015-01,251,728670,253,940469
2015-02,256,725518,258,996732
2015-03,249,718831,251,1047122
2015-04,253,719564,256,1069623
2015-05,253,723944,257,1095382
2015-06,254,726158,257,1115707
2015-07,255,729348,257,1139981
2015-08,252,735249,256,1161126
2015-09,257,752264,261,1206791
2015-10,260,775875,264,1232640
2015-11,256,793122,260,1252383
2015-12,261,800014,266,1245817
2016-01,264,806140,267,1230188
2016-02,260,817403,266,1184913
2016-03,264,836392,267,1175799
2016-04,263,856241,268,1275739
2016-05,260,876232,265,1285629
2016-06,261,895334,266,1298324
2016-07,262,895957,266,1303931
2016-08,254,905148,256,1318509
2016-09,250,896453,252,1301887
2016-10,248,886069,252,1311305
2016-11,245,906513,248,1355371
2016-12,247,939693,250,1418583
2017-01,252,967773,253,1475071
2017-02,254,974350,258,1552920
2017-03,255,979438,257,1559768
2017-04,252,1012598,256,1512221
2017-05,248,1014810,252,1526475
2017-06,246,1024821,249,1595826
2017-07,248,1034629,252,1647478
2017-08,247,1032031,251,1690762
2017-09,249,1038743,253,1732388
2017-10,251,1048116,255,1791784
2017-11,247,1017928,252,1806097
2017-12,242,968618,246,1794393
2018-01,240,952030,244,1797181
2018-02,240,932460,244,1725961
2018-03,239,914802,243,1706314
2018-04,238,868787,242,1652551
2018-05,237,869883,242,1650743
2018-06,238,840562,242,1561036
2018-07,238,823199,242,1515147
2018-08,231,808846,235,1460281
