User,Totals
(aeropagitica),13790 
-revi,5 
172,138 
17Drew,358 
23skidoo,732 
28bytes,3283 
2over0,1899 
5 albert square,5591 
52 Pickup,193 
7,4932 
7SeriesBOT,6403 
@pple,738 
A Man In Black,3517 
A Train,321 
A. B.,4041 
AA,960 
ABCD,3732 
AGK,13679 
AKeen,41 
AKoval (WMF),3 
APPER,1 
AZT2008,1 
Aarktica,213 
Aaron Brenneman,1428 
Aaron Schulz,9496 
Abecedare,722 
Academic Challenger,23248 
Acalamari,15405 
Acather96,509 
Accounting4Taste,29472 
Acdixon,260 
Acetic Acid,151 
Acropolis now,3 
Acroterion,72502 
Adam (Wiki Ed),2 
Adam Bishop,3885 
Adambiswanger1,143 
Adambro,2298 
Adashiel,896 
Adavyd,20 
Addshore,4751 
AdjustShift,767 
Adjwilley,49 
Admiral Norton,400 
Admrboltz,5328 
Aecis,4105 
Aervanath,2587 
After Midnight,53343 
Agathoclea,1603 
Ahoerstemeier,15752 
Ahonc,38 
Airplaneman,5376 
Ais523,348 
Aitias,5468 
Ajraddatz,50 
Akhilleus,1384 
Akradecki,5769 
Aksi great,2597 
Al Ameer son,162 
Alai,1468 
AlainV,1 
Alan,27 
Alasdair,802 
Aldnonymous,6 
Aldux,550 
Ale jrb,1945 
Alex Bakharev,4852 
Alex S,38 
Alex Shih,703 
Alex.muller,965 
Alex756,2 
AlexandrDmitri,2908 
Alexandria,3362 
Alexf,94112 
AlexiusHoratius,2851 
Alhutch,829 
Alison,13310 
AlisonW,715 
AlistairMcMillan,376 
AliveFreeHappy,235 
Alkivar,3330 
Allan Aguilar,9 
Allen3,12868 
AllyUnion,2451 
Alphachimp,11150 
Altenmann,7245 
Alteripse,25 
Alvestrand,574 
Amalas,1278 
Amalthea,6360 
Amatulic,9285 
Amberrock,920 
Amcaja,118 
Ameliorate!,632 
AmiDaniel,4031 
Amire80,597 
Amophar,1 
Amorymeltzer,10248 
Ams80,12 
Anas Salloum,1024 
Ancheta Wis,44 
Andonic,2351 
Andre Engels,3 
Andrei Stroe,2 
Andres,9 
Andrevan,2329 
Andrew Gray,1976 
Andrew Levine,797 
Andrew Norman,160 
Andrew Yong,31 
Andrew c,1700 
Andrewa,498 
Andris,17 
Android79,3734 
Andrwsc,9219 
AndyZ,1041 
AnemoneProjectors,5409 
Anetode,12190 
AngelOfSadness,1933 
Angela,2678 
Angelo.romano,1529 
Angr,35986 
Angusmclellan,21254 
AniMate,575 
Animum,4577 
Anna Frodesiak,8912 
Anne Delong,1465 
Anomie,10510 
AnomieBOT III,15204 
AnonEMouse,339 
Anonymous Dissident,3354 
Anonymous editor,1003 
Antandrus,14894 
Anthere,61 
Anthony Appleyard,57766 
Anthony Bradbury,36568 
AntiAbuseBot,947 
AntonioMartin,68 
Apokryltaros,1 
Appraiser,335 
Aqwis,462 
Aranel,1145 
Arbitrarily0,3082 
Arcadian,499 
Archtransit,53 
Arctic.gnome,1027 
Aris Katsaris,7 
Arjun01,1153 
Arminius,157 
ArnoldReinhold,325 
Arsenikk,660 
Art LaPella,90 
Arthur Rubin,1922 
