User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bastique	353	92	47	8	4	121	51	0	3	1	680
Bazonka	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	18	2	0	350	18	0	0	0	788
Bcorr	129	6	8	1	0	67	10	0	2	1	224
Bdesham	25	0	3	0	0	0	0	0	0	0	28
Bduke	250	17	19	7	2	23	0	0	0	0	318
Bearcat	3186	182	69	6	3	73	8	2	0	0	3529
Bearian	587	15	134	4	1	626	31	2	0	1	1401
Bedford	9	3	50	0	4	5	2	0	0	0	73
Beetstra	507	19	89	18	6	356	26	3	0	1	1025
Bel123456	0	0	1	0	0	0	0	0	0	0	1
Beland	191	0	13	12	1	10	0	0	0	0	227
Ben MacDui	206	1	1	0	0	7	0	0	0	0	215
Bencherlite	3362	54	158	4	12	491	7	6	0	7	4101
Berig	26	0	2	0	2	10	0	0	0	1	41
Betacommand	7463	46	76	379	0	3297	120	0	0	0	11381
Bettia	61	1	0	0	0	2	1	1	0	0	66
Bhadani	1296	7	93	19	1	478	10	0	0	0	1904
Bibliomaniac15	3857	25	216	31	17	1323	22	4	636	37	6168
BigHaz	3152	2	8	6	0	33	2	0	0	0	3203
BigrTex	960	10	2	0	0	1	0	0	0	0	973
Bigtimepeace	246	3	2	1	0	46	3	0	0	0	301
Bill	0	0	1	0	0	0	0	0	0	0	1
BillyH	47	2	0	1	0	1	0	0	0	0	51
BirgitteSB	114	5	0	0	0	1	1	0	0	1	122
Bishonen	573	74	196	46	7	568	208	1	0	0	1673
Bishzilla	53	11	16	2	2	24	6	0	0	5	119
Bjarki S	91	0	2	1	0	41	4	0	0	0	139
Bjelleklang	640	7	4	0	3	8	2	0	0	0	664
Bjweeks	3263	51	78	35	23	393	20	14	0	7	3884
Bkell	1130	12	0	0	0	1	0	0	0	0	1143
Bkonrad	602	84	2	0	0	138	2	0	0	0	828
Black Falcon	3902	59	3	1	0	26	1	0	0	0	3992
Black Kite	4084	125	316	40	41	1114	87	21	0	13	5841
Blankfaze	386	1	3	2	0	7	1	0	0	0	400
Blood Red Sandman	608	4	5	0	0	232	9	0	0	1	859
Blubberboy92	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	977	17	170	5	26	1924	120	18	0	0	3257
Bluemoose	10610	47	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	6	4	0	38	11	0	0	0	465
Bobak	216	11	118	6	5	667	10	3	0	0	1036
Bobet	4949	181	55	18	1	223	10	0	0	0	5437
Bobo192	4938	3	2	3	0	2	0	0	0	0	4948
Bogdangiusca	3131	64	27	10	1	107	13	0	0	0	3353
Bongwarrior	7653	56	414	7	85	2969	32	50	0	2	11268
Bonkers Bobcat	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	579	25	54	19	1	116	28	0	0	0	822
BorgQueen	3772	25	873	106	28	3286	166	13	0	0	8269
Borisblue	248	1	14	39	0	92	8	0	0	0	402
Bovlb	23	2	14	1	0	28	2	0	0	0	70
BozMo	285	6	12	3	0	111	12	0	0	0	429
BradBeattie	294	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	65	19	3	1211	79	0	0	0	6273
Bratsche	568	16	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	74	5	4	105	8	0	0	0	199
Brian	6	2	3	0	1	2	1	0	0	0	15
Brian Kendig	26	1	5	6	0	2	0	0	0	0	40
Brian0918	931	79	258	47	4	2140	109	0	0	0	3568
Brianga	1957	9	1	1	1	384	7	5	0	0	2365
Briangotts	138	7	1	0	0	7	0	0	0	0	153
Brighterorange	180	11	1	0	0	21	1	0	0	0	214
Brion VIBBER	190	9	12	0	1	27	11	0	0	4	254
Brockert	189	51	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	62	67	0	153	40	0	0	0	1696
Brookie	3977	53	212	3	0	229	4	0	0	0	4478
BrownHairedGirl	777	114	138	5	9	124	14	0	0	0	1181
Bryan Derksen	828	324	5	7	0	10	0	0	0	2	1176
Bubba hotep	1057	49	24	0	0	328	10	2	0	0	1470
Buchanan-Hermit	514	18	28	6	0	452	20	0	0	0	1038
Bucketsofg	642	22	66	6	0	224	8	0	0	0	968
Buckshot06	139	2	1	0	0	2	0	1	0	0	145
Bumm13	839	37	6	1	0	31	4	0	0	5	923
Bunchofgrapes	738	10	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	3	0	0	0	0	0	0	0	3
C.Fred	6307	47	192	5	4	1452	27	5	0	0	8039
C12H22O11	1351	5	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	63	683	49	0	30	22	0	0	1	4345
CBM	4274	112	235	96	22	56	17	0	0	3	4815
CIreland	927	30	162	12	23	329	16	3	0	1	1503
CJ	1927	79	112	22	3	277	18	0	0	1	2439
CJCurrie	388	19	124	8	1	117	13	0	0	0	670
CJLL Wright	1766	29	57	3	6	221	3	0	0	0	2085
CLW	13900	54	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	1	0	0	0	0	0	0	0	1
COGDEN	53	14	2	0	0	3	0	0	0	0	72
CRGreathouse	1	0	0	0	0	1	1	1	0	0	4
CSTAR	58	4	6	3	0	93	3	0	0	0	167
CYD	1	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	61	34	0	178	10	0	0	0	891
Cacycle	171	11	24	2	1	11	0	0	0	1	221
Cailil	116	3	33	0	2	48	12	0	0	0	214
Caknuck	1943	8	184	30	32	706	11	6	0	0	2920
Calliopejen1	2658	79	11	2	0	5	0	0	0	0	2755
Caltrop	57	22	0	0	0	6	3	0	0	0	88
Camaron	596	186	221	35	64	251	26	10	0	13	1402
CambridgeBayWeather	13632	225	188	18	6	944	21	0	0	0	15034
Camembert	11	2	0	1	0	0	0	0	0	0	14
Camw	164	4	1	0	0	149	0	6	0	0	324
Can't sleep, clown will eat me	9514	230	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	891	26	11	5	0	20	2	0	0	0	955
Canadian-Bacon	426	2	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	18	13	1	220	2	0	0	0	1448
Canley	651	6	0	1	0	3	0	0	0	0	661
Canterbury Tail	992	7	50	6	7	341	13	2	0	0	1418
Cantthinkofagoodname	2	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	3	0	0	23	3	0	0	0	650
Carabinieri	401	7	4	3	0	2	0	0	0	0	417
Carbonite	188	3	28	10	0	226	22	0	0	0	477
Carcharoth	30	74	2	1	0	1	2	0	0	0	110
Caribbean H.Q.	324	11	51	10	6	221	18	0	0	0	641
Carioca	1944	8	4	1	0	9	0	0	0	0	1966
Carlosguitar	2924	20	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10222	122	25	2	0	60	5	0	0	0	10436
Carnildo	2367	59	87	17	1	58	20	0	0	3	2612
Cary Bass	1	2	5	1	1	1	2	0	2	0	15
Casliber	60	40	118	4	13	105	3	0	0	2	345
Catbar	28	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	19	3	1	42	7	0	0	0	992
Caulde	2522	84	423	28	54	892	36	0	0	78	4117
Cbl62	7	0	2	0	0	0	0	0	0	0	9
Cbrown1023	3423	75	399	71	7	205	32	0	0	8	4220
Cburnett	48	18	6	2	0	14	5	0	0	0	93
Cdc	2188	10	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	36	5	0	6	6	0	215	328	638
Cedrus-Libani	101	4	1	0	0	0	0	0	0	0	106
Celestianpower	734	9	19	3	0	170	70	0	0	0	1005
Cenarium	1324	57	323	131	134	109	4	6	0	9	2097
Centrx	17167	398	997	947	12	1323	210	0	0	0	21054
CesarB	3606	141	123	49	0	942	212	0	0	0	5073
Ceyockey	1748	47	4	0	0	15	2	0	0	0	1816
Chadloder	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5156	13	69	8	0	187	14	0	0	0	5447
Chancemill	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1183	30	3	1	0	124	20	0	0	0	1361
Chase me ladies, I'm the Cavalry	1781	27	388	23	46	668	27	1	0	1	2962
