User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andrew Levine	718	15	0	0	19	2	0	34	6	0	0	0	794
Andrew Norman	48	1	0	0	27	2	0	75	7	0	0	0	160
Andrew Yong	24	7	0	0	0	0	0	0	0	0	0	0	31
Andrew c	1449	65	4	0	39	3	2	125	8	2	0	3	1700
Andrewa	214	8	0	0	0	0	0	0	0	0	0	0	222
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8379	117	2	0	86	55	11	133	2	1	0	0	8786
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	2971	370	111	0	231	60	16	350	2	17	0	1	4129
Anetode	9502	358	1	0	261	14	8	1291	61	0	0	8	11504
AngelOfSadness	1037	2	0	0	44	2	5	134	14	1	0	0	1239
Angela	2358	43	0	0	5	2	0	59	30	0	158	7	2662
Angelo.romano	1093	122	0	0	161	19	16	90	2	2	0	0	1505
Angr	34502	215	3	0	217	53	35	815	29	5	0	0	35874
Angusmclellan	20877	228	3	0	14	2	1	74	10	2	0	17	21228
AniMate	298	8	18	0	18	2	1	130	13	17	0	3	508
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
Anomie	47	1	0	0	114	0	65	9	3	9357	0	0	9596
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1502	45	0	0	385	34	59	502	14	7	709	67	3324
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7661	27	23	0	436	57	42	5766	354	93	0	3	14462
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	32262	5801	0	0	123	10	31	1	0	0	0	0	38228
Anthony Bradbury	19045	87	2	0	76	3	5	1798	42	44	0	6	21108
AntiAbuseBot	54	0	7	0	0	0	46	1105	2	21	0	0	1235
AntonioMartin	11	5	0	0	10	5	2	5	18	0	0	0	56
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	237	29	0	0	76	6	29	55	2	0	0	8	442
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	1693	235	0	0	30	1	7	0	0	0	0	117	2083
Arcadian	348	33	0	0	33	1	0	78	5	0	0	0	498
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	293	67	0	0	19	5	3	25	1	1	0	2	416
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	557	6	0	0	117	23	0	402	14	1	0	0	1120
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	6	1	1	0	0	268
Arsenikk	244	2	0	0	2	0	0	1	0	0	0	1	250
Art LaPella	76	2	0	0	0	0	0	0	0	0	0	0	78
Arthur Rubin	528	58	48	0	49	11	6	428	51	14	0	2	1195
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	40	8	0	680	39	1	0	0	924
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	97	7	0	0	72	8	3	126	15	0	0	1	329
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	2412	45	27	0	36	7	3	192	72	20	0	1	2815
Athaenara	111643	425	0	0	36	2	2	54	6	2	0	0	112170
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3061	223	6	0	512	68	53	1148	140	25	0	20	5256
Audacity	23	2	0	0	2	1	0	1	1	0	0	0	30
Aude	1192	39	0	0	48	11	6	518	17	0	0	2	1833
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	1	0	0	1	0	0	0	0	30
Avraham	1649	160	107	208	210	42	21	1348	135	85	498	156	4619
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
AxelBoldt	45	7	0	0	9	1	0	0	0	0	0	0	62
AzaToth	1900	133	8	0	122	43	34	171	26	1	0	8	2446
B	15261	261	32	0	329	28	37	886	106	12	0	13	16965
BD2412	5082	3101	4	0	59	15	3	241	24	3	0	0	8532
BOZ	34	407	0	0	53	4	9	2	0	0	0	0	509
Babajobu	298	3	0	0	1	1	0	21	3	2	0	0	329
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bahamut0013	1	0	0	0	1	0	0	0	0	0	0	1	3
Balloonman	368	15	0	0	14	2	2	53	8	4	0	2	468
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2270	69	1	0	204	245	6	412	11	0	0	0	3218
Barek	340	15	72	0	146	1	24	533	8	57	0	0	1196
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Barras	1	0	0	0	0	0	0	5	0	0	0	0	6
Bastique	362	95	9	3	48	8	5	121	51	0	11	51	764
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	9	0	0	10	1	0	67	10	0	2	1	231
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	266	18	0	0	26	8	3	30	0	0	0	0	351
Bearcat	7831	392	16	0	251	19	9	99	8	2	0	0	8627
Bearian	1637	22	0	0	349	7	8	783	38	4	0	1	2849
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	5217	44	91	1	740	21	89	1711	225	262	0	10	8411
Beetstra	1099	102	8	0	141	28	20	695	52	33	0	2	2180
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	198	1	0	0	14	12	1	11	0	0	0	0	237
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	926	8	0	0	20	0	1	24	1	0	0	0	980
Bencherlite	5401	150	22	0	237	9	25	639	10	17	0	16	6526
Berig	28	0	0	0	2	0	2	10	0	0	0	2	44
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bettia	646	17	0	0	24	2	0	11	1	2	0	0	703
Bhadani	1305	7	0	0	95	19	1	478	10	0	0	0	1915
Bibliomaniac15	4302	28	0	0	234	34	25	1455	23	5	940	67	7113
BigDom	512	8	0	0	1	0	0	0	0	0	0	0	521
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	960	10	0	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	566	9	0	0	5	1	1	81	4	2	0	1	670
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1311	10	0	0	3	0	0	5	1	3	0	2	1335
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	176	7	0	0	0	0	0	1	1	0	0	1	186
Bishonen	597	77	0	0	213	48	10	583	210	3	0	0	1741
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	646	7	0	0	4	0	3	12	2	0	0	0	674
Bkell	1467	31	8	0	16	2	0	3	0	0	0	0	1527
Bkonrad	920	154	3	0	9	0	0	160	2	0	0	0	1248
Black Falcon	5937	84	0	0	3	1	0	29	1	0	0	0	6055
Black Kite	6956	205	56	0	547	58	77	1704	132	69	0	15	9819
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	726	8	10	0	6	0	0	389	14	20	0	1	1174
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1594	26	0	0	252	5	33	3195	130	173	0	0	5408
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	376	18	30	0	14	3	4	63	3	2	0	8	521
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	158	4	0	0	31	0	2	0	0	0	0	1	196
Bobak	234	15	0	0	164	6	9	773	11	11	0	0	1223
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3174	66	0	0	28	10	1	108	13	0	0	0	3400
Boing! said Zebedee	2270	51	29	0	50	4	8	202	16	71	0	1	2702
Bongwarrior	13235	70	137	0	932	30	230	7840	39	232	0	5	22750
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	658	27	0	0	55	19	1	117	28	0	0	0	905
BorgQueen	4133	69	0	0	1338	137	58	3650	169	23	0	0	9577
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	24	2	0	0	14	1	0	29	2	1	0	1	74
BozMo	292	6	2	0	20	3	3	162	18	0	0	0	506
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3919	77	1	0	138	40	28	862	39	48	0	23	5175
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	4	0	0	0	74	5	4	105	8	0	0	0	200
Brian	10	3	0	0	3	0	1	3	1	0	0	0	21
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2144	109	1	0	0	3574
Brianga	2312	9	0	0	1	1	1	469	7	5	0	0	2805
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	194	9	0	0	12	0	1	27	11	0	0	4	258
Brockert	190	51	0	0	3	3	0	31	30	0	0	0	308
BrokenSegue	1364	11	0	0	63	67	0	153	40	0	0	0	1698
Brookie	4297	58	4	0	285	4	3	659	9	38	0	0	5357
BrownHairedGirl	1729	176	0	0	159	8	12	143	18	4	0	0	2249
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	1172	20	854	0	292	8	209	3815	54	805	0	11	7240
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	652	22	0	0	66	6	0	224	8	0	0	0	978
Buckshot06	470	11	0	0	24	0	2	28	1	1	0	0	537
Bumm13	846	42	0	0	6	1	0	32	4	2	0	5	938
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	4328	36	3	0	116	1	10	233	90	131	0	5	4953
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
