User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andrew Levine	718	15	0	0	19	2	0	34	6	0	0	0	794
Andrew Norman	48	1	0	0	27	2	0	75	7	0	0	0	160
Andrew Yong	24	7	0	0	0	0	0	0	0	0	0	0	31
Andrew c	1449	65	4	0	39	3	2	125	8	2	0	3	1700
Andrewa	227	8	0	0	0	0	0	0	0	0	0	0	235
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8392	117	2	0	86	55	11	133	2	1	0	0	8799
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	3078	425	113	0	233	60	16	350	2	17	0	1	4295
Anetode	9520	359	1	0	263	14	8	1292	61	0	0	8	11526
AngelOfSadness	1429	5	0	0	59	2	6	158	14	1	0	0	1674
Angela	2358	43	0	0	5	2	0	59	30	0	158	7	2662
Angelo.romano	1106	122	0	0	161	19	16	90	2	2	0	0	1518
Angr	34507	216	3	0	217	53	35	816	29	5	0	0	35881
Angusmclellan	20881	228	3	0	14	2	1	74	10	2	0	17	21232
AniMate	300	8	18	0	18	2	1	130	13	17	0	3	510
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
Anomie	75	3	2	0	120	0	69	11	4	9357	0	1	9642
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1503	45	0	0	385	34	59	502	14	7	711	68	3328
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7684	27	24	0	442	59	42	5808	357	105	0	5	14553
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	32699	6018	0	0	127	10	33	1	0	0	0	0	38888
Anthony Bradbury	19801	89	2	0	82	3	5	1813	43	46	0	6	21890
AntiAbuseBot	54	0	7	0	0	0	46	1105	2	21	0	0	1235
AntonioMartin	11	5	0	0	12	5	2	5	18	0	0	0	58
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	237	29	0	0	76	6	29	55	2	0	0	8	442
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	2223	284	0	0	47	2	10	0	0	0	0	117	2683
Arcadian	348	33	0	0	33	1	0	78	5	0	0	0	498
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	374	67	0	0	25	5	3	26	1	3	0	2	506
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	567	6	0	0	118	23	0	422	14	3	0	0	1153
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	7	2	1	0	0	270
Arsenikk	347	2	0	0	2	0	0	1	0	0	0	1	353
Art LaPella	76	2	0	0	0	0	0	0	0	0	0	0	78
Arthur Rubin	531	59	52	0	50	11	6	439	51	14	0	2	1215
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	42	8	0	682	39	1	0	0	928
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	97	7	0	0	72	8	3	126	15	0	0	1	329
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	2441	46	27	0	39	7	3	195	80	21	0	1	2860
Athaenara	111725	429	0	0	36	2	2	54	6	2	0	0	112256
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3061	223	6	0	512	68	53	1148	140	25	0	20	5256
Audacity	23	2	0	0	2	1	0	1	1	0	0	0	30
Aude	1193	40	0	0	48	11	6	519	17	1	0	2	1837
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	1	0	0	1	0	0	0	0	30
Avraham	1670	160	108	220	210	42	23	1357	137	87	503	162	4679
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
AxelBoldt	46	8	0	0	10	1	0	0	0	0	0	0	65
AzaToth	1900	133	8	0	124	43	34	172	26	1	0	8	2449
B	15270	262	32	0	331	28	37	886	106	12	0	13	16977
BD2412	5139	3158	4	0	59	15	3	243	24	4	0	0	8649
BOZ	47	443	0	0	54	6	9	2	0	0	0	0	561
Babajobu	298	3	0	0	1	1	0	21	3	2	0	0	329
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bahamut0013	1	0	0	0	1	0	0	0	0	0	0	1	3
Balloonman	370	15	0	0	14	2	2	53	8	4	0	2	470
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2270	69	1	0	204	245	6	412	11	0	0	0	3218
Barek	442	19	87	0	176	1	28	683	10	75	0	0	1521
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Barras	1	0	0	0	0	0	0	5	0	0	0	0	6
Bastique	362	95	9	3	48	8	5	121	51	0	11	51	764
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	9	0	0	10	1	0	67	10	0	2	1	231
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	266	18	0	0	27	8	3	30	0	0	0	0	352
Bearcat	8059	408	19	0	259	21	9	99	8	2	0	0	8884
Bearian	1674	22	0	0	358	7	8	796	39	5	0	1	2910
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	5609	52	100	1	814	21	98	1835	232	271	0	11	9044
Beetstra	1109	102	8	0	145	28	20	758	52	37	0	2	2261
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	199	1	0	0	14	12	1	12	0	0	0	0	239
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	984	8	0	0	21	0	1	26	1	0	0	0	1041
Bencherlite	5502	155	29	0	239	9	25	650	10	19	0	18	6656
Bencmq	1	0	0	0	0	0	0	0	0	0	0	0	1
Berig	28	0	0	0	2	0	2	10	0	0	0	2	44
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bettia	646	17	0	0	24	2	0	11	1	2	0	0	703
Bhadani	1305	7	0	0	95	19	1	478	10	0	0	0	1915
Bibliomaniac15	4437	28	0	0	241	34	25	1477	23	6	978	71	7320
BigDom	520	8	0	0	1	0	0	0	0	0	0	0	529
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	960	10	0	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	566	9	0	0	5	1	1	81	4	2	0	1	670
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1338	12	1	0	9	0	0	57	11	8	0	6	1442
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	176	7	0	0	0	0	0	2	1	0	0	1	187
Bishonen	601	77	0	0	214	48	11	585	210	3	0	0	1749
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	646	7	0	0	4	0	3	12	2	0	0	0	674
Bkell	1467	31	8	0	16	2	0	3	0	0	0	0	1527
Bkonrad	948	160	5	0	9	0	0	160	2	0	0	0	1284
Black Falcon	6090	85	0	0	3	1	0	29	1	0	0	0	6209
Black Kite	7042	212	59	0	559	59	78	1729	133	72	0	15	9958
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	726	8	10	0	6	0	0	389	14	20	0	1	1174
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	378	19	32	0	15	3	4	63	3	2	0	9	528
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	3729	7	0	0	31	0	2	2	0	0	0	1	3772
Bobak	234	16	0	0	164	6	9	773	11	11	0	0	1224
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3174	66	0	0	28	10	1	108	13	0	0	0	3400
Boing! said Zebedee	4229	62	45	0	103	18	12	307	29	128	0	1	4934
Bongwarrior	13938	74	152	0	1048	32	266	8884	41	265	0	5	24705
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	659	27	0	0	55	19	1	117	28	0	0	0	906
BorgQueen	4135	70	0	0	1338	137	58	3652	169	23	0	0	9582
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	24	2	0	0	14	1	0	29	2	1	0	1	74
BozMo	292	6	2	0	21	3	3	163	18	0	0	0	508
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3919	78	1	0	138	40	28	862	39	48	0	23	5176
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	5	0	0	0	74	5	4	105	8	0	0	0	201
Brian	11	3	0	0	3	0	1	3	1	0	0	0	22
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2144	109	1	0	0	3574
Brianga	2313	9	0	0	1	1	1	469	7	5	0	0	2806
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	194	9	0	0	12	0	1	27	11	0	0	4	258
Brockert	190	51	0	0	3	3	0	31	30	0	0	0	308
BrokenSegue	1364	11	0	0	63	67	0	153	40	0	0	0	1698
Brookie	4334	58	4	0	298	4	4	722	9	42	0	0	5475
BrownHairedGirl	1733	194	0	0	160	8	12	143	18	4	0	0	2272
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	1187	20	872	0	308	8	231	3916	57	842	0	11	7452
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	652	22	0	0	66	6	0	224	8	0	0	0	978
Buckshot06	487	11	0	0	25	0	3	29	1	1	0	0	557
Bumm13	851	42	0	0	6	1	0	32	4	2	0	5	943
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	4423	47	3	0	144	1	10	314	109	157	0	7	5215
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
