User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8049	106	0	0	76	55	10	127	1	1	0	0	8425
AndyZ	911	12	0	0	0	0	0	113	4	0	0	0	1040
AnemoneProjectors	2275	253	45	0	191	57	16	303	2	14	0	1	3157
Anetode	9301	350	0	0	258	14	8	1261	61	0	0	8	11261
AngelOfSadness	1037	2	0	0	44	2	5	134	14	1	0	0	1239
Angela	2329	43	0	0	5	2	0	59	30	0	158	7	2633
Angelo.romano	1077	119	0	0	148	19	15	90	2	2	0	0	1472
Angr	34451	214	2	0	211	52	33	800	29	4	0	0	35796
Angusmclellan	20654	228	3	0	14	2	1	74	10	2	0	17	21005
AniMate	284	7	15	0	18	2	1	124	13	16	0	3	483
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1494	45	0	0	384	33	59	502	14	7	692	65	3295
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7542	27	12	0	432	57	40	5656	354	87	0	3	14210
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	29676	4755	0	0	91	9	23	1	0	0	0	0	34555
Anthony Bradbury	17368	82	0	0	74	3	4	1743	41	39	0	2	19356
AntiAbuseBot	54	0	7	0	0	0	46	1099	2	21	0	0	1229
AntonioMartin	9	5	0	0	7	3	0	5	18	0	0	0	47
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	224	29	0	0	75	6	29	54	2	0	0	8	427
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	1551	199	0	0	10	0	2	0	0	0	0	114	1876
Arcadian	284	27	0	0	32	1	0	76	4	0	0	0	424
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	292	67	0	0	19	5	3	25	1	1	0	2	415
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	557	6	0	0	117	23	0	402	14	1	0	0	1120
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	6	1	1	0	0	268
Arsenikk	89	0	0	0	1	0	0	1	0	0	0	0	91
Art LaPella	72	2	0	0	0	0	0	0	0	0	0	0	74
Arthur Rubin	502	57	37	0	46	10	5	405	49	13	0	2	1126
