User,Totals
(aeropagitica),13790 
-revi,2 
172,138 
17Drew,358 
23skidoo,732 
28bytes,3266 
2over0,1899 
5 albert square,5330 
52 Pickup,193 
7,4931 
7SeriesBOT,6403 
@pple,738 
A Man In Black,3517 
A Train,321 
A. B.,4041 
AA,960 
ABCD,3732 
AGK,13679 
AKeen,41 
AKoval (WMF),3 
AZT2008,1 
Aarktica,213 
Aaron Brenneman,1427 
Aaron Schulz,9496 
Abecedare,558 
Academic Challenger,23238 
Acalamari,15185 
Acather96,491 
Accounting4Taste,29472 
Acdixon,257 
Acetic Acid,151 
Acropolis now,3 
Acroterion,71231 
Adam Bishop,3885 
Adambiswanger1,143 
Adambro,2298 
Adashiel,896 
Adavyd,7 
Addshore,4681 
AdjustShift,767 
Adjwilley,48 
Admiral Norton,400 
Admrboltz,5328 
Aecis,4105 
Aervanath,2587 
After Midnight,53343 
Agathoclea,1603 
Ahoerstemeier,15752 
Ahonc,26 
Airplaneman,5375 
Ais523,348 
Aitias,5468 
Ajraddatz,44 
Akhilleus,1384 
Akradecki,5769 
Aksi great,2597 
Al Ameer son,149 
Alai,1468 
AlainV,1 
Alan,20 
Alasdair,802 
Aldux,550 
Ale jrb,1945 
Alex Bakharev,4790 
Alex S,38 
Alex Shih,703 
Alex.muller,965 
Alex756,2 
AlexandrDmitri,2908 
Alexandria,3362 
Alexf,93681 
AlexiusHoratius,2810 
Alhutch,829 
Alison,13264 
AlisonW,715 
AlistairMcMillan,376 
AliveFreeHappy,234 
Alkivar,3330 
Allan Aguilar,8 
Allen3,12867 
AllyUnion,2451 
Alphachimp,11150 
Altenmann,7245 
Alteripse,25 
Alvestrand,574 
Amalas,1278 
Amalthea,6356 
Amatulic,9202 
Amberrock,920 
Amcaja,118 
Ameliorate!,632 
AmiDaniel,4031 
Amire80,597 
Amophar,1 
Amorymeltzer,10248 
Ams80,12 
Anas Salloum,1024 
Ancheta Wis,44 
Andonic,2351 
Andre Engels,3 
Andrei Stroe,2 
Andres,9 
Andrevan,2329 
Andrew Gray,1975 
Andrew Levine,797 
Andrew Norman,160 
Andrew Yong,31 
Andrew c,1700 
Andrewa,494 
Andris,17 
Android79,3734 
Andrwsc,9218 
AndyZ,1041 
AnemoneProjectors,5382 
Anetode,12164 
AngelOfSadness,1933 
Angela,2678 
Angelo.romano,1529 
Angr,35986 
Angusmclellan,21254 
AniMate,575 
Animum,4575 
Anna Frodesiak,7531 
Anne Delong,1338 
Anomie,10503 
AnomieBOT III,12528 
AnonEMouse,339 
Anonymous Dissident,3354 
Anonymous editor,1003 
Antandrus,14847 
Anthere,60 
Anthony Appleyard,56726 
Anthony Bradbury,34930 
AntiAbuseBot,947 
AntonioMartin,63 
Apokryltaros,1 
Appraiser,335 
Aqwis,462 
Aranel,1145 
Arbitrarily0,3082 
Arcadian,499 
Archtransit,53 
Arctic.gnome,899 
Aris Katsaris,7 
Arjun01,1153 
Arminius,157 
ArnoldReinhold,323 
Arsenikk,658 
Art LaPella,90 
Arthur Rubin,1882 
Aruk Besadii Aora,2 
Arvindn,19 
Arwel Parry,944 
Asbestos,102 
Asterion,332 
AstroNomer~enwiki,2 
Astronautics~enwiki,881 
Atama,4106 
Athaenara,113515 
Atlant,699 
AuburnPilot,5502 
Audacity,48 
Aude,1878 
Auntof6,1 
Ausir,31 
Avraham,4750 
Awiseman,48 
Awolf002,15 
AxelBoldt,75 
AzaToth,2591 
B,23737 
BD2412,14147 
BDD,8676 
BOZ,1411 
Babajobu,329 
Baboon Faceless,2 
Backslash Forwardslash,5024 
Bagumba,996 
Bahamut0013,3 
Bald Zebra,770 
Balloonman,472 
Banes,228 
Banno,77 
BanyanTree,3227 
Barek,3983 
Barneca,2491 
Barneca sock 1,1 
BaronLarf,459 
Barras,8 
Basalisk,1138 
Bastique,763 
Bazonka,1 
Bbatsell,786 
Bbb23,21913 
Bcorr,255 
Bdesham,30 
Bduke,369 
Bearcat,11756 
Bearian,4571 
Bedford,73 
Beeblebrox,12401 
Beetstra,2921 
Bel123456,1 
Beland,294 
Bellhalla,24 
Ben MacDui,1540 
Bencherlite,8926 
Bencmq,3 
Bennylin,4 
Berean Hunter,1659 
Berig,54 
Betacommand,11366 
Bgwhite,988 
Bhadani,1941 
Bibliomaniac15,7463 
BigDom,546 
BigHaz,3245 
BigrTex,1242 
Bigtimepeace,670 
Bilby,576 
Bill,1 
Billinghurst,3319 
BillyH,52 
Biosthmors,17 
BirgitteSB,187 
Bishonen,3090 
Bishzilla,119 
Bjarki S,142 
Bjelleklang,1269 
Bkell,1589 
Bkonrad,1776 
Black Falcon,7385 
Black Kite,12981 
Blankfaze,400 
Blood Red Sandman,1154 
Blubberboy92,1 
Bluemoose,10805 
Bluerasberry,23 
Blurpeace,651 
Bmicomp,464 
Bob the Wikipedian,3821 
Bobak,1252 
Bobet,5455 
Bobo192,4998 
Bogdangiusca,3453 
Boing! said Zebedee,10826 
Bongwarrior,36673 
Bonkers Bobcat,1 
Bookofjude,805 
Bopped Kia,1 
BorgHunter,908 
BorgQueen,9663 
Borisblue,402 
Bovlb,96 
BozMo,516 
BradBeattie,421 
BradPatrick,26 
Bradeos Graphon,6278 
Brandon,5180 
Bratsche,807 
Brendanconway,1194 
BrendelSignature,201 
Brian,22 
