User,Totals
ProcseeBot,13497
Closedmouth,4390
MBisanz,4353
NawlinWiki,4175
NuclearWarfare,3043
Skier Dude,3035
Mentifisto,1972
Edgar181,1835
Cydebot,1732
Drilnoth,1682
Nihiltres,1501
Willking1979,1440
Cirt,1419
Fastily,1384
MuZemike,1363
R&#039;n&#039;B,1345
PMDrive1061,1344
Gogo Dodo,1218
Tnxman307,1181
Acroterion,1168
Tedder,1141
JamieS93,1130
J.delanoy,1109
Alexf,1091
PhilKnight,1038
RHaworth,1029
Athaenara,969
DragonflySixtyseven,908
Beeblebrox,899
Graeme Bartlett,862
Luk,852
Juliancolton,770
Graham87,759
Orangemike,759
Anthony Bradbury,738
Plastikspork,686
DMacks,675
Accounting4Taste,664
Good Olfactory,633
Tassedethe,613
Rettetast,578
Anthony Appleyard,561
VegaDark,520
Toddst1,498
Ohnoitsjamie,451
PeterSymonds,444
Backslash Forwardslash,437
Kinu,435
Kevin,415
Frank,403
Jclemens,402
Jake Wartenberg,394
Tikiwont,391
Wknight94,386
Moonriddengirl,386
Killiondude,377
JForget,363
Yet Another Redirect Cleanup Bot,351
Lectonar,350
Chase me ladies, I&#039;m the Cavalry,347
Someguy1221,336
Ged UK,307
Skomorokh,293
Rd232,291
Nihonjoe,286
DGG,281
Od Mishehu,279
Mufka,275
Hersfold,266
Xdamr,257
Sandstein,255
Malo,253
Future Perfect at Sunrise,253
Decltype,253
Bearcat,252
Syrthiss,250
Paul Erik,246
Abecedare,242
Jimfbleak,241
Tcncv,239
Ultraexactzz,235
Master of Puppets,231
HangingCurve,230
Enigmaman,223
SoWhy,220
DJ Clayworth,218
AdjustShift,217
Angusmclellan,214
MLauba,211
Kralizec!,209
Delldot,209
Jafeluv,208
Fred Bauder,207
The Earwig,204
Fram,201
Mifter,200
Garion96,199
BD2412,198
WereSpielChequers,198
Nyttend,195
FisherQueen,194
Bencherlite,191
Khukri,188
Black Kite,186
Feydey,185
Dank,183
Nancy,178
Keith D,176
Deb,175
C.Fred,169
Magioladitis,168
Zzuuzz,165
SchuminWeb,165
Vsmith,164
Daniel Case,163
Rodhullandemu,162
CambridgeBayWeather,159
Gadfium,159
Dravecky,156
Jéské Couriano,153
Saltine,152
Redvers,148
CactusWriter,146
Xeno,143
Spartaz,143
Rich Farmbrough,140
Pascal.Tesson,140
Melchoir,133
JIP,131
Alison,127
Chamal N,126
Stifle,126
Nishkid64,124
Samir,123
Will Beback,122
The Anome,121
Kuru,121
AnemoneProjectors,121
Kmccoy,120
ESkog,120
Mr.Z-man,119
Doug,116
Fabrictramp,114
Infrogmation,112
Tanthalas39,111
J Greb,109
Amalthea,104
NJA,104
Zscout370,103
Julia W,101
Sherool,101
Discospinster,101
Postdlf,100
IronGargoyle,99
Epbr123,99
Christopher Parham,99
Useight,98
Xymmax,96
Hiding,96
Number 57,95
Spinningspark,95
MZMcBride,95
Mark Ironie,93
