User,Totals
ProcseeBot,43204
RHaworth,8229
Explicit,5213
Fastily,4127
RonBot,2415
Ronhjones,1524
Oshwah,1523
Magog the Ogre,1434
Amorymeltzer,1382
Widr,1126
Bbb23,1044
Alexf,1042
Jimfbleak,904
Favonian,841
RL0919,806
Anthony Appleyard,783
Sandstein,720
Diannaa,719
Cydebot,688
Ad Orientem,659
MER-C,624
Gogo Dodo,608
JamesBWatson,543
Fayenatic london,536
331dot,441
Edgar181,429
SQL,418
Zzuuzz,398
AnomieBOT III,397
Yunshui,372
DoRD,372
Drmies,350
Sarahj2107,346
Enigmaman,345
Berean Hunter,342
Ponyo,336
Dlohcierekim,335
Hut 8.5,332
Ansh666,323
Acroterion,323
GB fan,312
Timrollpickering,302
RickinBaltimore,292
Ian.thomson,292
Mz7,282
TonyBallioni,265
Boson,263
Cryptic,262
Plastikspork,256
Muboshgu,241
Ritchie333,238
NinjaRobotPirate,235
Graham87,228
GiantSnowman,218
Courcelles,217
SoWhy,196
Randykitty,195
Premeditated Chaos,191
Sphilbrick,190
TheSandDoctor,188
Bishonen,188
Tassedethe,183
Wbm1058,183
Primefac,180
BD2412,175
Ser Amantio di Nicolao,174
Anna Frodesiak,160
Nihonjoe,160
Maile66,158
Beeblebrox,156
The Blade of the Northern Lights,153
NeilN,153
Black Kite,153
Ymblanter,151
Orangemike,146
Anarchyte,145
Sro23,137
CambridgeBayWeather,137
AustralianRupert,135
Yamla,133
Shirt58,131
Joe Roe,130
Ivanvector,129
Alex Shih,128
Anthony Bradbury,128
Fish and karate,125
DragonflySixtyseven,123
DGG,115
There&#039;sNoTime,112
Bagumba,111
Kuru,110
Stwalkerster,109
CactusWriter,108
The Anome,105
Waggers,104
Doug Weller,102
Northamerica1000,102
RoySmith,100
EdJohnston,100
Vanjagenije,99
Discospinster,99
DeltaQuad,96
Dekimasu,96
Spencer,93
Just Chilling,93
Mojo Hand,91
Abecedare,86
Pbsouthwood,86
Jo-Jo Eumerus,85
Nthep,84
BethNaught,82
Materialscientist,81
Yamaguchi先生,81
Boing! said Zebedee,79
Bearcat,73
Jauerback,72
DMacks,71
Vanamonde93,71
KnightLago,69
Peacemaker67,69
Tyrol5,68
78.26,66
Michig,66
BDD,66
Monty845,65
Seraphimblade,62
MusikAnimal,62
Graeme Bartlett,61
Anachronist,60
Deb,59
5 albert square,57
K6ka,56
MBisanz,56
Callanecc,54
BOZ,53
Cordless Larry,53
C.Fred,53
Czar,52
BU Rob13,51
Kudpung,49
Mattythewhite,49
Spartaz,49
Megalibrarygirl,47
Fabrictramp,47
Prolog,46
Cyphoidbomb,45
Swarm,45
Gonzo fan2007,45
MelanieN,44
Audacity,44
Xaosflux,42
Ferret,42
Sergecross73,41
R&#039;n&#039;B,40
DrKay,40
Gilliam,39
SuperMarioMan,39
GorillaWarfare,39
Athaenara,38
Miniapolis,34
Cyberpower678,34
SarekOfVulcan,34
JzG,33
Canterbury Tail,33
De728631,32
Nick,32
Number 57,31
TFA Protector Bot,31
Cuchullain,30
Tide rolls,29
Utcursch,29
Someguy1221,29
PhilKnight,29
