User,Totals
ProcseeBot,10715
Explicit,7192
NawlinWiki,5735
Athaenara,2318
Cirt,2311
JamesBWatson,1823
Orphaned image deletion bot,1796
HJ Mitchell,1769
After Midnight,1595
JohnCD,1432
Cydebot,1399
Alexf,1286
Edgar181,1282
Nyttend,1279
Gogo Dodo,1277
Airplaneman,1238
Acroterion,1182
Zzuuzz,1104
PMDrive1061,1077
Materialscientist,1038
Dabomb87,969
Skier Dude,900
Malik Shabazz,860
Courcelles,850
Favonian,848
DragonflySixtyseven,814
RHaworth,761
Magog the Ogre,732
MuZemike,711
PhilKnight,706
Graham87,668
Ron Ritzman,653
Orangemike,597
Kinu,587
Bsadowski1,576
Eagles247,560
Elockid,502
Tnxman307,499
Longhair,486
CactusWriter,479
Jimfbleak,439
Soap,427
Mike Rosoft,413
Lectonar,411
Nakon,405
Wifione,397
Toddst1,392
Mkativerata,389
Od Mishehu,384
Anthony Appleyard,382
7,365
Angusmclellan,360
Kimchi.sg,358
Kuru,357
HelloAnnyong,339
Moonriddengirl,332
Fetchcomms,322
SchuminWeb,315
AnemoneProjectors,311
MPUploadBot,284
Looie496,276
Bongwarrior,272
Tide rolls,267
Closedmouth,267
TFOWR,261
J.delanoy,248
DGG,245
Plastikspork,244
Good Olfactory,244
Timotheus Canens,238
Jac16888,234
Michig,233
Black Kite,226
VegaDark,223
Daniel Case,222
Ged UK,214
Fuhghettaboutit,210
Graeme Bartlett,210
AlexandrDmitri,206
JoJan,206
Brookie,203
Tikiwont,200
Chase me ladies, I&#039;m the Cavalry,199
Anthony Bradbury,198
Xezbeth,198
C.Fred,190
Bearcat,189
Syrthiss,187
Tiptoety,187
MGA73,187
Rich Farmbrough,183
BD2412,182
Shirik,181
Ronhjones,168
Gadfium,167
Scientizzle,164
Beeblebrox,162
Stwalkerster,160
Wizardman,159
Jafeluv,154
Vianello,153
Leyo,152
Voice of Clam,151
Jujutacular,149
JIP,147
Doug Weller,144
Vegaswikian,143
TeaDrinker,142
Hersfold,136
Faithlessthewonderboy,136
Frank,134
Melesse,131
J04n,130
Rodhullandemu,130
A. B.,127
Mike Selinker,126
WOSlinker,124
Jclemens,122
JodyB,119
Future Perfect at Sunrise,119
Vejvančický,119
Pats1,116
LessHeard vanU,114
PeterSymonds,113
Phantomsteve,113
Kww,111
Fram,110
Stemonitis,109
Ohnoitsjamie,106
CambridgeBayWeather,105
7SeriesBOT,105
Mifter,103
