User,Totals
ProcseeBot,27389
RHaworth,7203
Explicit,5355
Fastily,3004
RL0919,2847
RonBot,1888
Oshwah,1870
Widr,1498
Plastikspork,1290
Gogo Dodo,1220
Bbb23,1169
Gilliam,1115
Diannaa,1015
Edgar181,939
Magog the Ogre,891
Materialscientist,885
Alexf,822
Dlohcierekim,814
Jimfbleak,777
Ymblanter,736
AnomieBOT III,678
Drmies,658
Zzuuzz,650
Ronhjones,642
Fayenatic london,610
Anthony Appleyard,567
Cydebot,527
Jo-Jo Eumerus,520
Pbsouthwood,515
Tone,511
GeneralizationsAreBad,508
Anthony Bradbury,430
Ritchie333,422
Berean Hunter,414
331dot,389
Timrollpickering,384
MER-C,380
Jauerback,378
JamesBWatson,377
Favonian,368
Yunshui,360
Swarm,344
Ad Orientem,323
Sphilbrick,322
Amorymeltzer,311
Airplaneman,298
Boing! said Zebedee,296
Ponyo,293
Athaenara,287
Timotheus Canens,286
Salvio giuliano,278
Patar knight,268
SQL,259
Primefac,254
Vanamonde93,250
Sandstein,244
Acroterion,241
CambridgeBayWeather,240
TonyBallioni,237
Premeditated Chaos,236
Kuru,225
NinjaRobotPirate,218
Muboshgu,216
L235,204
Mojo Hand,189
CactusWriter,181
Shirt58,171
B,164
Ferret,164
DeltaQuad,160
RoySmith,158
Northamerica1000,157
Bishonen,155
Ivanvector,154
The Blade of the Northern Lights,150
Cryptic,146
DGG,142
Hut 8.5,137
GB fan,137
TomStar81,128
Doug Weller,125
Seraphimblade,123
Joe Roe,116
Spencer,116
Nthep,116
Juliancolton,113
Graeme Bartlett,113
Maile66,111
DMacks,108
MelanieN,105
Graham87,104
Amakuru,103
BU Rob13,103
The Anome,100
Orangemike,100
Luk,98
SoWhy,97
Ian.thomson,95
Sro23,94
Czar,94
K6ka,93
Yamla,90
Beeblebrox,90
Mz7,88
EdJohnston,86
GorillaWarfare,85
MBisanz,85
Deb,83
Wbm1058,82
Fram,80
Alex Shih,80
Just Chilling,79
Michig,78
DragonflySixtyseven,77
TheSandDoctor,76
BD2412,75
Tassedethe,75
C.Fred,75
Caknuck,73
78.26,70
JzG,69
GiantSnowman,68
There&#039;sNoTime,68
Smalljim,68
Black Kite,66
Xaosflux,65
Bagumba,63
Stwalkerster,63
KrakatoaKatie,61
Fish and karate,61
Jni,61
Discospinster,60
Anna Frodesiak,60
DrKay,59
AGK,57
Cullen328,54
BrownHairedGirl,52
AustralianRupert,52
5 albert square,50
Boson,49
Huon,48
Mattythewhite,47
SpacemanSpiff,47
Anachronist,47
Wtmitchell,46
Thryduulf,45
SarekOfVulcan,44
RegentsPark,42
Cyp,41
Fabrictramp,41
Callanecc,41
Bearcat,40
Nick,38
ONUnicorn,38
ReaderofthePack,38
PhilKnight,38
Spinningspark,38
TFA Protector Bot,37
Ansh666,36
Sergecross73,35
Number 57,34
Jpgordon,34
Xezbeth,33
BDD,32
Courcelles,32
De728631,31
RickinBaltimore,30
Clpo13,30
BOZ,30
Miniapolis,30
Tide rolls,30
Beetstra,30
R&#039;n&#039;B,29
Paul Erik,29
Jayron32,29
David Gerard,28
Doc James,28
Bsadowski1,27
MusikAnimal,27
Lirazelf,26
GoldRingChip,26
Stinglehammer,26
SilkTork,26
Waggers,25
Writ Keeper,25
Ddstretch,25
Carlossuarez46,23
Mindmatrix,23
Future Perfect at Sunrise,23
Cyphoidbomb,23
Yamaguchi先生,22
JGHowes,21
JHunterJ,21
Prolog,21
Abecedare,20
MilborneOne,19
Voice of Clam,19
Floquenbeam,19
Delphine Dallison,18
Ohnoitsjamie,18
Cyclonebiskit,18
Utcursch,17
IronGargoyle,17
Vanjagenije,17
Gadfium,17
Sjb72,17
Deryck Chan,17
Mlaffs,16
Bongwarrior,16
Killiondude,16
Cuchullain,16
Nyttend,16
Laser brain,16
Malcolmxl5,15
Cyberpower678,15
Amortias,15
AlexiusHoratius,15
Parsecboy,15
David Eppstein,15
Smartse,14
Anne Delong,14
Canterbury Tail,13
Schwede66,13
Redrose64,13
Tavix,13
Bilby,12
Metropolitan90,12
Billinghurst,12
Dodger67,12
SuperMarioMan,12
Lectonar,12
Vejvančický,12
Cordless Larry,12
AnemoneProjectors,12
Mike Rosoft,11
Finlay McWalter,11
Versageek,11
Rlendog,11
Postdlf,10
Someguy1221,10
Vsmith,10
Geschichte,10
Enigmaman,10
Keith D,10
Jac16888,9
KnightLago,9
Kusma,9
Titoxd,9
Anthere,8
Calliopejen1,8
Masem,8
Titodutta,8
Fox,8
Anarchyte,8
Bkonrad,8
Fuzheado,8
Ruslik0,8
Pathoschild,7
Gonzo fan2007,7
Ser Amantio di Nicolao,7
MSGJ,7
DoRD,7
WereSpielChequers,7
Antandrus,7
Scott,7
Rmhermen,7
Tom harrison,6
Canley,6
Closedmouth,6
Mr. Stradivarius,6
Kaiser matias,6
Andrew Davidson,6
WOSlinker,5
Huntster,5
Nick-D,5
Euryalus,5
J Milburn,5
Casliber,5
Mjroots,4
Dank,4
NativeForeigner,4
Spike Wilbury,4
Buckshot06,4
SlimVirgin,4
Mattinbgn,4
Audacity,4
Deor,4
Acather96,4
Barek,4
Peacemaker67,4
Randykitty,4
AnitaConchita,4
Paul August,4
Steven Walling,4
PBS,4
Jusjih,3
JoJan,3
Ancheta Wis,3
ChrisTheDude,3
MLauba,3
Andrewa,3
Wehwalt,3
The ed17,3
DavidWBrooks,3
Moriori,3
Dennis Brown,3
Rschen7754,3
Donald Albury,3
WhisperToMe,3
Menchi,3
Lowellian,3
Shyamal,3
JLaTondre,3
Angelo.romano,3
Pharos,2
WJBscribe,2
Guettarda,2
HJ Mitchell,2
Y,2
Darwinek,2
Newyorkbrad,2
Amire80,2
Fennec,2
PrimeHunter,2
Trappist the monk,2
TLSuda,2
Philg88,2
Missvain,2
Od Mishehu,2
Necrothesp,2
Rogerd,2
Pakaran,2
Tariqabjotu,2
Commander Keane,2
Mkdw,2
Legoktm,2
Yaris678,2
Nihonjoe,2
John,2
MaxSem,2
Gamaliel,2
Leyo,2
Acalamari,2
TheDJ,2
Joe Decker,2
NrDg,2
Guerillero,2
Djsasso,2
Tabercil,2
Gnangarra,2
Marine 69-71,2
Ale jrb,2
Mifter,2
Mackensen,2
It Is Me Here,1
JenOttawa,1
Joy,1
MichaelQSchmidt,1
Fuhghettaboutit,1
Ynhockey,1
28bytes,1
MastCell,1
WGFinley,1
Maxim,1
Ged UK,1
Llywrch,1
Zanimum,1
Tgr (WMF),1
RockMFR,1
Dweller,1
TheCatalyst31,1
Geni,1
Canadian Paul,1
NJA,1
Bovlb,1
Mahagaja,1
Fenix down,1
Trialsanderrors,1
Kinu,1
Cerebellum,1
JPG-GR,1
Eagles247,1
Runningonbrains,1
Brookie,1
Victuallers,1
Earl Andrew,1
Agathoclea,1
Neutrality,1
Hoary,1
Sir Nicholas de Mimsy-Porpington,1
CIreland,1
Kelapstick,1
HighInBC,1
Ceyockey,1
ScottDavis,1
TigerShark,1
Scottywong,1
Electionworld,1
Zzyzx11,1
Fences and windows,1
Dbachmann,1
Jon (WMF),1
ESkog,1
Richwales,1
Alex Bakharev,1
Daniel Case,1
Lenticel,1
Pedro,1
Kirill Lokshin,1
Opabinia regalis,1
Andrew Gray,1
Meno25,1
Ariel Cetrone (WMDC),1
