User,Totals
East718,14387
NawlinWiki,4762
Skier Dude,3647
MZMcBride,3591
Orangemike,2462
Stifle,2099
J.delanoy,2002
Zzuuzz,1977
Rjd0060,1947
MBisanz,1883
Spellcast,1865
Tiptoety,1748
Acroterion,1706
Edgar181,1594
Melesse,1589
Alexf,1564
Gogo Dodo,1400
Cirt,1388
Misza13,1366
Akradecki,1279
Wknight94,1225
SoWhy,1188
Nancy,1176
TexasAndroid,1124
Angusmclellan,1083
Discospinster,989
RHaworth,989
Jac16888,956
Athaenara,937
Fram,910
Nv8200pa,902
Anthony Appleyard,875
Herbythyme,851
Gwen Gale,768
Kbdank71,751
RedirectCleanupBot,729
Ioeth,697
Cydebot,696
Dlohcierekim,686
Thingg,666
Mojo Hand,663
Redvers,636
Toddst1,625
Malcolmxl5,619
Tanthalas39,605
Pedro,597
Tikiwont,596
Lectonar,564
Graham87,560
Elkman,544
Luk,536
Papa November,536
Master of Puppets,531
Bongwarrior,524
Stwalkerster,519
Allen3,511
Oscarthecat,506
Tone,503
Aitias,497
SchuminWeb,495
Ilmari Karonen,485
PhilKnight,482
Juliancolton,461
Trevor MacInnis,460
Lifebaka,447
Brandon,426
Frank,404
Nishkid64,403
Kimchi.sg,386
VegaDark,385
Golbez,383
Luna Santin,381
Ameliorate!,381
Rlevse,374
Indubitably,364
C.Fred,362
DMacks,348
Philosopher,341
Parsecboy,338
CambridgeBayWeather,327
Barneca,325
Fuhghettaboutit,325
RandomXYZb,324
KieferSkunk,316
Cobaltbluetony,314
MacGyverMagic,308
Sandstein,304
Hersfold,304
DragonflySixtyseven,300
Peripitus,299
Chris G,299
Chase me ladies- I&#039;m the Cavalry,297
Jimfbleak,297
Conscious,297
HangingCurve,281
DGG,278
FisherQueen,274
JPG-GR,272
Daniel Case,272
Slakr,271
Od Mishehu,269
Alison,267
Cenarium,260
Protonk,257
Theda,257
Delldot,253
Matthewedwards,248
Longhair,247
Ice Cold Beer,246
Kralizec!,245
Elonka,234
Philippe,233
Rodhullandemu,233
Ale jrb,230
Mr.Z-man,226
AngelOfSadness,225
EdJohnston,225
VirtualSteve,222
Woody,220
GlassCobra,219
Deb,218
The Anome,217
Versageek,215
Moonriddengirl,214
DJ Clayworth,213
Infrogmation,210
Hut 8.5,205
Ezhiki,204
Mahagaja,202
Xaosflux,200
Starblind,198
Ohnoitsjamie,195
Smashville,192
Mike Rosoft,188
Fabrictramp,187
Lankiveil,187
Nyttend,185
Star Mississippi,183
Doug Weller,176
Metropolitan90,176
Thatcher,175
Good Olfactory,174
Rmhermen,170
Carlossuarez46,169
Esanchez7587,163
Ryulong,163
Marasmusine,163
Kurykh,161
Yamamoto Ichiro,160
Bkell,159
X!,158
Shell Kinney,157
Xymmax,157
Jayron32,154
Vsmith,154
Wizardman,152
Iridescent,150
Fox,148
Xeno,146
Daniel,145
Scarian,145
WJBscribe,142
Scientizzle,142
Antandrus,141
BorgQueen,140
Nihonjoe,139
Jéské Couriano,138
Bobak,134
Magioladitis,134
Mattinbgn,131
Lid,129
Spartaz,126
AuburnPilot,126
Kukini,124
YellowMonkey,124
Jj137,122
Garion96,121
FreplySpang,120
KnightLago,119
Black Kite,119
L&#039;Aquatique,118
Masamage,116
Pb30,115
Royalbroil,114
JForget,113
SatyrTN,113
JLaTondre,112
Bibliomaniac15,111
Faithlessthewonderboy,111
LadyofShalott,105
Ultraexactzz,105
Academic Challenger,105
Woohookitty,103
King of Hearts,102
Ckatz,101
Anthony Bradbury,100
SQL,99
CT Cooper,97
Theresa knott,97
Waggers,96
MaxSem,95
TravisTX,95
Paul Erik,94
Deiz,93
Gimmetrow,92
Calliopejen1,92
Spencer,91
Utcursch,90
Alex Bakharev,89
Kurt Shaped Box,88
J Milburn,87
ChrisO~enwiki,86
Grutness,86
Andrwsc,86
EVula,85
OhanaUnited,84
The JPS,84
Edison,83
Number 57,82
GDonato,82
LessHeard vanU,82
Steve Smith,81
Acalamari,80
AGK,80
John Reaves,80
Angelo.romano,80
Martijn Hoekstra,79
LFaraone,79
Will Beback,76
Zedla,76
Cool Hand Luke,75
TimVickers,75
Fritzpoll,75
Satori Son,74
Raul654,74
Hesperian,73
Bearian,72
Lazulilasher,72
Avraham,71
David Fuchs,70
Gadfium,70
Useight,68
Hiberniantears,68
Oxymoron83,66
Gazimoff,65
TomStar81,65
Nihiltres,64
Jehochman,64
Geschichte,63
Pascal.Tesson,61
Jc37,61
Icairns,61
Fish and karate,61
Mike Peel,61
Feydey,60
Altenmann,60
Maxim,59
Bearcat,59
EncMstr,59
CIreland,58
WODUP,58
Tony Fox,57
B,57
Risker,56
Seicer,56
Jauerback,56
Cohesion,55
Animum,55
MPUploadBot,53
Kuru,53
MastCell,53
DVD R W,53
Huntster,53
Keith D,52
Sjakkalle,52
Sam Korn,51
Sephiroth BCR,51
David Eppstein,51
Coren,51
Rschen7754,51
Shoeofdeath,50
PBS,50
Kafziel,50
Ricky81682,50
Mangojuice,50
Future Perfect at Sunrise,49
MCB,49
Kwamikagami,48
Jredmond,48
Just Chilling,48
Chaser,48
Consumed Crustacean,48
Chick Bowen,47
Nichalp,47
DrKay,46
Eliz81,46
Friday,46
NrDg,46
Neutrality,46
Commander Keane,45
Docu,45
Gonzo fan2007,45
WilyD,45
Postdlf,45
Jza84,44
Bencherlite,44
Dreadstar,44
Slp1,43
Pagrashtak,42
Djsasso,42
ST47,42
Fvasconcellos,41
William M. Connolley,41
Ahoerstemeier,41
Beetstra,40
Pax:Vobiscum,40
Only,40
JoJan,39
Uncle G,37
MBK004,37
SirFozzie,37
Rossami,37
Rich Farmbrough,37
Gnangarra,37
JIP,36
Jerry,35
OwenX,34
JodyB,34
SheffieldSteel,34
Sherool,34
A. B.,33
J Greb,33
Werdna,33
Slowking Man,32
RenamedUser jaskldjslak903,32
Malinaccier,32
Lar,32
Lenticel,31
Finlay McWalter,31
Pats1,31
Epbr123,31
David Levy,31
Riana,30
John,30
Jerzy,30
Zzyzx11,30
TigerShark,30
Tyrenius,29
UtherSRG,29
Eluchil404,29
Orderinchaos,29
JzG,29
Wafulz,29
Kylu,29
Davidgothberg,29
Aude,28
Tznkai,28
Seraphimblade,28
Cuchullain,28
Kevin,28
Y,28
Steven Walling,27
Nixeagle,27
PeaceNT,26
Canadian Paul,26
Oren0,26
Jossi,25
Ddstretch,25
Jon513,25
Arthur Rubin,25
DerHexer,25
Rlandmann,25
Karanacs,25
JGHowes,24
Josiah Rowe,24
Stevenfruitsmaak,24
ZimZalaBim,24
Ericorbit,24
Seresin,24
Garzo,24
J.smith,23
JHunterJ,23
Smalljim,23
Carioca,23
Howcheng,23
Happy-melon,23
Victuallers,23
Tawker,22
Hurricanehink,22
The Rambling Man,22
Voice of Clam,22
Sjb72,22
Hiding,22
Casliber,22
Moni3,21
Happyme22,21
Resolute,21
Tabercil,21
PFHLai,21
KillerChihuahua,20
Jayjg,20
WhisperToMe,20
Fran Rogers,20
Caulde,20
Keegan,20
SGGH,20
Anonymous Dissident,20
CJLL Wright,19
Mzajac,19
Henrik,19
Scott5114,19
AlistairMcMillan,19
Vegaswikian,19
FayssalF,18
Ev,18
Khoikhoi,18
Georgewilliamherbert,18
Rama,18
Zscout370,18
Mailer diablo,18
Jesse Viviano,18
Bkonrad,17
DoomsDay349,17
Carcharoth,17
Ryan Postlethwaite,17
Amire80,17
Kusma,17
Islander,17
Edokter,17
Cremepuff222,16
Jpgordon,16
Prolog,16
Deskana,16
Rkitko,16
Shereth,15
Mattbr,15
Mysid,15
MrDarcy,15
Rifleman 82,15
Andrew Gray,15
Nick-D,15
FT2,14
TenOfAllTrades,14
Nehrams2020,14
Anetode,14
MER-C,14
Aqwis,14
Pseudo-Richard,14
UberScienceNerd,14
Canterbury Tail,14
Moondyne,14
Bogdangiusca,14
Dave souza,13
Kingturtle,13
Nev1,13
A Man In Black,13
John Vandenberg,13
Ronnotel,12
Reedy,12
Dweller,12
Pegship,12
Nick,12
Gamaliel,12
Wwoods,12
Pathoschild,12
Inter,11
Salix alba,11
Sam Blacketer,11
Agathoclea,11
Heimstern,11
CBM,11
Fastfission,11
Charles Matthews,11
SarekOfVulcan,11
Newyorkbrad,11
Davewild,11
Necrothesp,10
Horologium,10
Gadget850,10
Mindmatrix,10
Wwwwolf,10
Vary,10
Ganeshk,10
Kaihsu,10
Moreschi,10
Dbachmann,10
Maury Markowitz,10
Gutza,10
Mark,10
Snoyes,10
ChrisTheDude,9
J-stan,9
Lradrama,9
SlimVirgin,9
Esprit15d,9
Jbmurray,9
Appraiser,9
Piotrus,9
Ruhrfisch,9
Keeper76,9
KnowledgeOfSelf,9
Delirium,9
Daniel J. Leivick,9
Flowerparty,9
Hemlock Martinis,9
Renamed user ixgysjijel,8
Nightscream,8
Raith Sienar,8
No Guru,8
Richardcavell,8
Kaldari,8
Andonic,8
Trödel,8
NCurse,8
Wiki alf,8
MilborneOne,8
Bradeos Graphon,8
BozMo,8
Gilliam,8
Nightstallion,8
23skidoo,7
Akhilleus,7
Roger Davies,7
Xavexgoem,7
Scott,7
Ben MacDui,7
Sardanaphalus,7
Warofdreams,7
Qwghlm,7
Journalist,7
Vanished user 5zariu3jisj0j4irj,7
Kizor,6
LeaveSleaves,6
GoldRingChip,6
Gladys j cortez,6
Canderson7,6
The Placebo Effect,6
HappyCamper,6
Paul August,6
Jeepday,6
Magister Mathematicae,6
Centrx,6
Ragib,6
Causa sui,6
BD2412,6
Dekimasu,6
Carnildo,6
Ihcoyc,6
GRBerry,6
Johntex,6
Geometry guy,6
Thedemonhog,6
Chrislk02,6
Denelson83,6
David.Monniaux,6
WilliamH,6
ProhibitOnions,6
Tom harrison,6
Sarah,5
Ed g2s,5
Arcadian,5
Andrew c,5
BigHaz,5
Shyamal,5
David D.,5
BorgHunter,5
Gaius Cornelius,5
The Moose,5
Rockpocket,5
Eleassar,5
CJCurrie,5
Nandesuka,5
Slambo,5
Harej,5
Hit bull- win steak,5
RockMFR,5
Pakaran,5
Ramitmahajan,5
Tizio,5
Marine 69-71,5
SpuriousQ,5
EyeSerene,5
Patrick,4
Rklawton,4
Shii,4
Filelakeshoe,4
@pple,4
CBDunkerson,4
Davidruben,4
Matilda,4
Hernando Magallanes,4
PrimeHunter,4
Swatjester,4
Jfdwolff,4
SCEhardt,4
Thehelpfulone,4
Vulcan Hephaestus,4
RobertG,4
Slrubenstein,4
Explicit,4
Cyde,4
😂,4
Joyous!,4
Jmabel,4
AA,4
SouthernNights,4
Haukurth,4
IronGargoyle,4
Fred Bauder,4
Okiefromokla,4
Alvestrand,4
Ram-Man,4
Adambro,4
Ian13,4
Angela,4
Marskell,3
Bishzilla,3
Bobo192,3
Viridae,3
G.A.S,3
Earl Andrew,3
Merkinsmum,3
GeeJo,3
Taxman,3
Acropolis now,3
Cbrown1023,3
Nlu,3
