User,Totals
Misza13,49429
DerHexer,19104
East718,14848
MZMcBride,11806
Maxim,8750
After Midnight,8614
Quadell,6165
Skier Dude,4626
Oxymoron83,2303
NawlinWiki,2284
Spellcast,2159
Accounting4Taste,1791
Jerry,1632
Jmlk17,1464
KnowledgeOfSelf,1384
Jj137,1080
Winhunter,926
ST47,868
Seb26,817
Keilana,798
Cyde,796
Slakr,796
Od Mishehu,792
Shell Kinney,755
PhilKnight,723
Nehrams2020,674
Acroterion,671
Gogo Dodo,626
Kinu,620
Can&#039;t sleep- clown will eat me,611
Tijuana Brass,607
CBM,606
Snowolf,592
Angusmclellan,575
Animum,568
Tone,545
Anetode,543
Bradeos Graphon,542
Chrislk02,541
Indubitably,533
DragonflySixtyseven,532
Alexandria,529
DJ Clayworth,520
Edokter,504
Theda,504
Athaenara,498
RenamedUser jaskldjslak903,486
Lid,484
Bongwarrior,477
FisherQueen,476
TeaDrinker,467
Luk,463
Kurykh,458
Moonriddengirl,453
SatyrTN,447
Ryulong,447
Irishguy,445
Brianga,441
Xaosflux,432
WJBscribe,432
JForget,429
Dlohcierekim,426
RedirectCleanupBot,422
Kimchi.sg,421
Xoloz,413
Coredesat,412
Mailer diablo,408
Singularity,400
Delldot,385
Carlossuarez46,383
Hut 8.5,382
Orangemike,378
B,378
Luna Santin,369
Anthony Appleyard,368
VegaDark,368
Jimfbleak,365
Hmwith,360
Black Kite,355
MECU,348
Davewild,344
Philippe,342
Michael Greiner,340
Mahagaja,336
Nv8200pa,331
JamesR,330
Chase me ladies- I&#039;m the Cavalry,328
GlassCobra,325
Ioeth,320
Acalamari,318
RHaworth,318
Edgar181,313
C.Fred,310
Number 57,308
Tonywalton,305
Rettetast,301
Nishkid64,300
Khukri,298
JodyB,282
DGG,281
Antandrus,279
Yamla,278
Wknight94,278
AuburnPilot,275
Bencherlite,272
Mr.Z-man,271
Daniel Case,271
Mike Rosoft,270
Kingboyk,268
Deb,268
Black Falcon,268
Zzuuzz,264
Jusjih,257
NrDg,255
Mojo Hand,254
Alison,251
Metropolitan90,247
Icairns,246
Coren,239
Anonymous Dissident,232
Hbdragon88,226
Random832,223
Kukini,222
Ceyockey,220
Kurt Shaped Box,220
MaxSem,219
The Anome,217
Stifle,215
JLaTondre,214
Pedro,214
James086,213
Uncle G,212
Canadian Paul,210
Pagrashtak,210
Gimmetrow,209
Woody,208
Caknuck,203
Wizardman,202
Dreadstar,198
SQL,198
RockMFR,196
Altenmann,196
MastCell,195
Carlosguitar,192
Rlevse,189
Scientizzle,189
ArnoldReinhold,183
Anthony Bradbury,180
Ryan Postlethwaite,179
Mercury~enwiki,177
Mark Ironie,177
RyanGerbil10,175
Lectonar,174
Spike Wilbury,171
JzG,171
CambridgeBayWeather,170
Daniel,167
Kuru,159
Resolute,159
Useight,158
CloudNine,158
WODUP,158
Bibliomaniac15,157
Elkman,157
Ral315,156
Hu12,153
Stephen,152
Garion96,151
DMacks,150
Utcursch,149
Retired username,148
Haemo,148
John Reaves,147
Fabrictramp,147
Nlu,146
Nikki311,145
Sandstein,144
Fang Aili,144
IronGargoyle,144
Rlandmann,141
Marasmusine,140
DO11.10,138
Infrogmation,137
Allen3,136
Woohookitty,135
Darwinek,134
Bearian,132
Tikiwont,132
Chris G,130
John,126
Stormie,126
PeaceNT,126
Fram,125
TKD,125
Fish and karate,125
Nick,124
Eliz81,123
BorgQueen,123
Fuhghettaboutit,121
Bryan Derksen,120
Satori Son,120
AGK,118
Golbez,116
Kbdank71,116
Bobo192,116
DarkFalls,115
Royalbroil,115
Keegan,113
Rigadoun,112
Nat,112
Ganeshk,111
Pastordavid,110
Trevor MacInnis,110
Fran Rogers,106
Riana,106
Hemlock Martinis,106
Mike Selinker,105
EVula,104
Royalguard11,104
LessHeard vanU,103
King of Hearts,103
Theresa knott,101
Nyttend,100
Tyrenius,99
Kusma,98
Kralizec!,98
Henrik,98
HighInBC,97
Zscout370,95
😂,94
Vsmith,93
Doc glasgow,93
GTBacchus,90
J Milburn,90
Papa November,90
ChrisTheDude,89
Cool Hand Luke,89
DrKay,88
SchuminWeb,88
Jéské Couriano,87
Gnangarra,86
JHunterJ,86
Pats1,85
Alasdair,85
RG2,84
Flyguy649,83
Android79,83
Enochlau,83
Ahoerstemeier,82
Sean William,81
El C,81
Avraham,81
Cremepuff222,80
Raul654,79
ESkog,79
The Epopt,77
Christopher Parham,77
Wafulz,75
Only,75
Andrew Gray,75
Picaroon,74
AnemoneProjectors,73
ProveIt,72
Rifleman 82,71
IceKarma,70
Spartaz,69
SouthernNights,69
Will Beback,69
Ocatecir,69
Arctic.gnome,68
CattleGirl,68
GRBerry,67
GDonato,66
Vegaswikian,65
Adambro,65
Malo,65
The undertow,64
Chick Bowen,64
Moreschi,63
Redvers,63
Mtmelendez,62
Rkitko,62
Waggers,62
JoanneB,62
Hiberniantears,61
Alex Bakharev,61
Jpgordon,60
Mike Halterman,59
Citicat,59
Herbythyme,59
Gwernol,59
ERcheck,59
Friday,59
Akradecki,57
Geschichte,57
Georgewilliamherbert,57
Jc37,56
Husond,56
Agathoclea,55
The wub,53
Violetriga,53
Orderinchaos,53
The Rambling Man,52
Future Perfect at Sunrise,51
OldakQuill,51
Piotrus,50
WilyD,50
Sam Blacketer,50
Newyorkbrad,49
Tony Fox,49
Cryptic,48
Dominic,48
Danaman5,47
Feydey,47
Moondyne,47
Dekimasu,47
Mangojuice,45
UtherSRG,45
Longhair,44
Caribbean H.Q.,44
Mattbr,44
Just Chilling,44
Peruvianllama,44
Nufy8,44
Sir Nicholas de Mimsy-Porpington,43
BD2412,43
Nihiltres,43
Aecis,43
Chris 73,42
The Placebo Effect,42
Mr. Lefty,42
Wimt,41
Sherool,41
YellowMonkey,41
Seraphimblade,41
Faithlessthewonderboy,41
Splash,41
NoSeptember,40
Dsmdgold,40
TimVickers,40
Versageek,39
Tra,39
Nihonjoe,39
JoJan,38
Kingturtle,38
Andonic,38
Hiding,37
Commander Keane,36
Kafziel,36
Jossi,35
Heimstern,35
Angelo.romano,35
Jeffrey O. Gustafson,34
Rich Farmbrough,34
AzaToth,33
Ohnoitsjamie,33
Meno25,33
Merovingian,32
Jehochman,32
CJLL Wright,31
Secretlondon,31
Iridescent,31
Prolog,31
