User,Totals
MZMcBride,42830
East718,21510
Melesse,5154
Mr.Z-man,4674
Skier Dude,4414
Misza13,3971
NawlinWiki,3788
Rettetast,2852
Jmlk17,2405
Maxim,2098
Kimchi.sg,1944
Accounting4Taste,1889
Nv8200pa,1822
Jj137,1713
Athaenara,1408
Alexf,1334
Orangemike,1208
Edgar181,1174
Hmwith,1167
Wknight94,1037
Acroterion,1032
Luk,972
Gogo Dodo,933
Nancy,864
Bibliomaniac15,822
Slakr,813
John Reaves,803
PhilKnight,802
Faithlessthewonderboy,740
Happy-melon,728
Od Mishehu,725
Oxymoron83,719
Seresin,708
Jayron32,702
SchuminWeb,693
Caulde,669
Bongwarrior,656
Pb30,639
Acalamari,638
Anthony Appleyard,633
Yamla,626
Gwernol,619
Fram,611
Cyde,598
Zzuuzz,587
Riana,542
Keilana,539
Philippe,532
Gonzo fan2007,531
SGGH,531
Andonic,508
Hut 8.5,498
Yamamoto Ichiro,497
Carlosguitar,489
Mike Rosoft,479
Spellcast,473
GDonato,471
Ryulong,469
Exploding Boy,462
Rjd0060,457
Coredesat,457
Jauerback,454
Master of Puppets,453
RHaworth,452
Anetode,451
Woody,445
Tone,432
Fish and karate,429
Moonriddengirl,429
C.Fred,422
Brianga,414
Angusmclellan,408
Pedro,403
Alison,397
EncMstr,396
Keeper76,374
Elkman,372
Daniel Case,362
DragonflySixtyseven,357
Tikiwont,355
Jerry,346
Remember the dot,341
DMacks,340
Coffee,336
SatyrTN,335
Carlossuarez46,335
Mojo Hand,328
NrDg,317
WJBscribe,311
CIreland,307
CambridgeBayWeather,303
TimVickers,300
Dlohcierekim,295
Smalljim,293
DGG,292
PeaceNT,291
DerHexer,290
Nakon,287
Bencherlite,286
JForget,285
Stephen,283
Ioeth,280
Steve Smith,278
Black Kite,278
Versageek,276
RandomXYZb,272
GlassCobra,271
Number 57,267
Roger Davies,265
Theda,265
Can&#039;t sleep- clown will eat me,265
Deb,262
VegaDark,259
Ultraexactzz,254
Nlu,252
RedirectCleanupBot,249
Jéské Couriano,246
TexasAndroid,245
ZimZalaBim,244
VirtualSteve,242
Animum,239
Waggers,235
Allen3,234
MBisanz,233
Irishguy,231
Luna Santin,230
Malinaccier,229
Indubitably,229
Starblind,228
Djsasso,227
Kbdank71,224
Satori Son,222
MBK004,222
Kurt Shaped Box,221
Marasmusine,220
Esanchez7587,219
Sarah,212
B,210
Jimfbleak,207
DDima,205
CT Cooper,203
Kralizec!,193
Denelson83,187
Scarian,187
J Milburn,185
Rodhullandemu,184
Infrogmation,180
Kukini,179
Pascal.Tesson,173
BorgQueen,170
Friday,170
SQL,168
Future Perfect at Sunrise,165
James086,163
Tonywalton,161
Thatcher,157
Lid,156
Scientizzle,152
Kim Dent-Brown,152
Lectonar,151
Natalie Erin,151
Seb26,150
Gimmetrow,150
Woohookitty,145
Daniel,144
DJ Clayworth,143
AuburnPilot,143
The Placebo Effect,141
Fabrictramp,139
Anthony Bradbury,139
Tony Fox,138
ChrisTheDude,138
Tijuana Brass,138
Raul654,137
MECU,137
Trusilver,135
Bobo192,135
Prodego,134
Bearian,134
Ohnoitsjamie,134
Dreadstar,132
JLaTondre,132
Bradeos Graphon,132
Hu12,131
Sherool,130
Wimt,129
The Anome,129
Davewild,128
Vsmith,128
Seicer,127
Stifle,126
Nihonjoe,124
Canley,124
Alex.muller,123
Sandstein,123
Antandrus,122
Mike V,122
IronGargoyle,122
Dweller,122
JzG,121
AGK,120
Rlevse,119
Khukri,118
Ryan Postlethwaite,117
BD2412,117
Mangojuice,117
Nyttend,115
Fran Rogers,115
Aecis,115
Snowolf,114
Random832,114
Kuru,114
Swatjester,113
John Carter,112
Jossi,112
Vegaswikian,111
YellowMonkey,110
Shell Kinney,110
Jc37,109
Sephiroth BCR,107
Redvers,105
Andrwsc,104
Kafziel,103
Sam Korn,103
JoJan,102
Keith D,102
Anonymous Dissident,101
Ixfd64,101
Edokter,101
Cool Hand Luke,100
Altenmann,97
Jon513,96
ERcheck,96
Zscout370,94
Spartaz,93
Steel,92
Utcursch,92
Longhair,91
Nat,91
John Vandenberg,91
RG2,90
Wizardman,90
RyanGerbil10,90
JamesR,90
RockMFR,89
Georgewilliamherbert,88
MastCell,86
Jehochman,86
Golbez,83
Dominic,82
A. B.,82
The Rambling Man,81
Jpgordon,79
Grutness,78
Hiberniantears,77
Useight,77
LAX,76
Mr. Lefty,76
Nishkid64,76
Darwinek,75
Retired username,75
Mahagaja,74
Nehrams2020,74
OhanaUnited,74
WODUP,73
Garion96,69
Ahoerstemeier,69
Black Falcon,68
Kingturtle,68
Fuhghettaboutit,68
Kylu,67
Wafulz,67
Nihiltres,67
RenamedUser jaskldjslak903,66
John,66
LessHeard vanU,65
El C,65
TigerShark,64
Resolute,64
Only,64
Bogdangiusca,64
Revolving Bugbear,63
Persian Poet Gal,62
Moreschi,62
AnemoneProjectors,62
Metropolitan90,60
Howcheng,60
Filelakeshoe,59
Merovingian,59
Barneca,58
Zzyzx11,58
Majorly,57
Masem,57
😂,56
DarkFalls,55
