User,Totals
ProcseeBot,26935
Tavix,11132
RHaworth,3457
Widr,3282
Sphilbrick,2763
Explicit,2518
Magog the Ogre,1910
Bbb23,1721
David Gerard,1498
Materialscientist,1353
Jo-Jo Eumerus,1304
Diannaa,1259
Jimfbleak,1239
JohnCD,1185
MBisanz,995
Edgar181,987
DGG,963
Cryptic,921
NeilN,915
AnomieBOT III,883
Plastikspork,882
Ponyo,853
Gogo Dodo,843
Peridon,777
JamesBWatson,748
Anthony Appleyard,713
Vanjagenije,650
Graeme Bartlett,645
Nyttend,622
BethNaught,609
Zzuuzz,578
MER-C,551
Favonian,520
Acroterion,511
Seraphimblade,483
Randykitty,474
Sandstein,440
Mojo Hand,436
Kudpung,411
C.Fred,411
Deb,400
BU Rob13,391
ReaderofthePack,383
Yamaguchi先生,377
GB fan,373
Titodutta,366
Xaosflux,348
Ronhjones,343
Euryalus,342
Drmies,324
Bishonen,313
Airplaneman,311
Fayenatic london,307
Ricky81682,286
DoRD,280
Mackensen,275
Boing! said Zebedee,272
Orangemike,271
Espresso Addict,268
Gilliam,260
Northamerica1000,259
Hut 8.5,231
Ymblanter,229
Sarahj2107,222
Anthony Bradbury,217
KrakatoaKatie,212
Ultraexactzz,194
Ohnoitsjamie,194
Czar,188
Graham87,185
The Anome,184
Mike Rosoft,170
Shirt58,168
Anna Frodesiak,167
Jac16888,163
DragonflySixtyseven,160
Nthep,158
Ian.thomson,155
Jujutacular,154
Floquenbeam,141
Jauerback,141
Patar knight,139
TomStar81,139
Xezbeth,133
Kuru,129
Ritchie333,129
Good Olfactory,127
Fram,125
Iridescent,122
MusikAnimal,121
AustralianRupert,121
Michig,120
Oshwah,119
DeltaQuad,118
MelanieN,117
Od Mishehu,117
Coffee,113
DMacks,113
Spencer,112
Doug Weller,111
Yamla,110
BD2412,109
RoySmith,105
DrKay,99
Bkonrad,94
R&#039;n&#039;B,94
Bearcat,94
Cydebot,91
78.26,89
Barek,89
Beetstra,88
BigrTex,87
Jni,83
Cyphoidbomb,81
Sergecross73,81
Y,80
BDD,79
Mike V,79
Mkdw,76
The Blade of the Northern Lights,76
MikeLynch,74
JJMC89,73
HJ Mitchell,72
Doc James,71
Fuhghettaboutit,71
Anachronist,68
Tassedethe,68
Mattythewhite,68
Huon,67
Bgwhite,66
Just Chilling,65
Closedmouth,63
EdJohnston,63
Necrothesp,63
JzG,62
Nick-D,58
Philg88,56
Monty845,56
Bongwarrior,55
Black Kite,55
Parsecboy,55
Reaper Eternal,55
GorillaWarfare,54
Maile66,53
Amakuru,53
Meno25,51
Wbm1058,51
Fenix down,49
Versageek,49
Paul Erik,48
