User,Totals
RHaworth,5927
ProcseeBot,4025
Alexf,2689
NawlinWiki,2290
TLSuda,2249
Sphilbrick,1862
AnomieBOT III,1692
Cydebot,1576
Ronhjones,1566
Gogo Dodo,1267
JohnCD,1258
FreeRangeFrog,1230
Diannaa,1215
Mark Arsten,1162
Bbb23,997
Elockid,988
Mike V,972
Magog the Ogre,820
Materialscientist,808
Jni,795
Peridon,780
Joe Decker,758
Anthony Appleyard,667
MusikAnimal,638
DoRD,554
Shirik,538
Magioladitis,498
ReaderofthePack,491
Gfoley4,488
Edgar181,488
DragonflySixtyseven,464
Favonian,462
MER-C,425
Jenks24,418
Daniel Case,415
Shirt58,407
Smalljim,407
Bongwarrior,396
Rjd0060,387
Plastikspork,358
Deb,356
Anna Frodesiak,351
CambridgeBayWeather,346
Discospinster,345
RenamedUser jaskldjslak901,342
Acroterion,341
Kinu,319
Orangemike,310
PhilKnight,302
Jac16888,292
Randykitty,290
Anthony Bradbury,288
Ponyo,276
Fox,265
GB fan,265
Hyacinth,238
Ymblanter,237
Wizardman,237
Deor,233
Michig,217
Xaosflux,214
C.Fred,213
TheCatalyst31,208
Od Mishehu,197
DGG,195
HighInBC,186
Callanecc,182
DeltaQuad,176
Fayenatic london,171
Doug Weller,170
BDD,161
The Anome,150
Beetstra,145
BD2412,137
Malik Shabazz,136
WilyD,134
Mojo Hand,134
Hut 8.5,132
JamesBWatson,130
Huon,125
Nthep,125
Future Perfect at Sunrise,124
Mike Rosoft,122
Tom Morris,120
Drmies,118
Salvidrim!,116
Sandstein,115
Jimfbleak,113
Smartse,111
Anne Delong,107
Wifione,104
Black Kite,104
Gilliam,103
HJ Mitchell,102
Moonriddengirl,99
Graham87,99
5 albert square,94
Nyttend,93
Tiptoety,91
Good Olfactory,90
Kusma,89
Fuhghettaboutit,89
Yunshui,85
Postdlf,81
Fram,81
Mr. Stradivarius,81
Spinningspark,80
The Bushranger,76
Timotheus Canens,76
Acalamari,73
Mackensen,73
Eustress,73
Bearcat,73
Monty845,73
Samsara,72
Nick,72
NativeForeigner,71
Bearian,66
Tone,65
SuperMarioMan,64
Sjb72,61
Vsmith,61
DMacks,59
DrKay,59
Graeme Bartlett,59
Anetode,57
RoySmith,56
Scottywong,56
Gadfium,56
Black Falcon,54
Lankiveil,53
CactusWriter,53
Wtmitchell,51
Razr Nation,51
EurekaLott,51
Meno25,51
Seraphimblade,50
Bishonen,49
Kaiser matias,49
Ohnoitsjamie,49
Miniapolis,48
Kuru,48
Y,47
Ixfd64,47
Dreadstar,46
Metropolitan90,44
Risker,43
IronGargoyle,43
Starblind,42
Trevj,42
Kww,42
Paul Erik,42
Daniel,41
Barek,41
Guerillero,40
R&#039;n&#039;B,39
Bgwhite,39
Kralizec!,39
Courcelles,39
AnemoneProjectors,39
Legoktm,39
Waggers,39
Fluffernutter,38
DangerousPanda,37
Mkdw,37
Philg88,37
Closedmouth,36
David Eppstein,35
Jpgordon,34
Anachronist,34
Euryalus,34
Rschen7754,34
Salvio giuliano,33
Soap,32
Jesse Viviano,32
De728631,31
Connormah,31
Joy,31
Berean Hunter,31
EdJohnston,31
Sergecross73,30
Ianblair23,30
John Reaves,29
J04n,29
Bilby,29
Sjakkalle,28
Ged UK,28
Davewild,28
Protonk,27
Doc James,27
Timrollpickering,26
Redrose64,26
Amorymeltzer,24
Number 57,24
Gamaliel,24
January,24
Martijn Hoekstra,23
BOZ,23
Tom harrison,23
Xezbeth,22
Zzyzx11,22
ErikHaugen,21
GiantSnowman,20
Yngvadottir,20
The JPS,20
Utcursch,20
Andrwsc,19
Edokter,19
Tawker,19
Kudpung,19
MGA73,18
TomStar81,18
Nihiltres,18
CT Cooper,18
Orlady,18
Ben MacDui,18
Kelapstick,18
Zzuuzz,18
Floquenbeam,17
2over0,17
Writ Keeper,17
Spartaz,17
Bagumba,17
Alison,16
JHunterJ,16
Casliber,16
Bencherlite,16
Nick-D,15
Worm That Turned,15
Seddon,15
Mitchazenia,15
Moriori,14
MilborneOne,14
Jami (Wiki Ed),14
Crisco 1492,14
Go Phightins!,14
TFA Protector Bot,13
SilkTork,13
Geschichte,13
Tóraí,13
Mlaffs,13
Beeblebrox,13
EncMstr,13
John,13
GorillaWarfare,12
Bsadowski1,12
Keilana,12
Tide rolls,11
Ruslik0,11
Vegaswikian,11
TexasAndroid,11
Xymmax,11
Jayron32,10
Missvain,10
Bcorr,10
Mattythewhite,10
PBS,10
Nabla,10
Cuchullain,9
OlEnglish,9
Gnangarra,9
Ezhiki,9
Dank,9
LadyofShalott,9
Zad68,9
SimonP,9
Grutness,9
Jauerback,9
Malcolmxl5,8
Choess,8
Ragesoss,8
Dravecky,8
Esanchez7587,8
Mjroots,8
28bytes,8
Athaenara,8
SlimVirgin,8
Jinian,7
Mikaey,7
Keith D,7
It Is Me Here,7
The Blade of the Northern Lights,7
Mike Peel,7
Mark Ironie,7
Alex Bakharev,7
NrDg,7
TenOfAllTrades,7
Daniel J. Leivick,7
GlobalCssJs migration script,6
Yamla,6
J Milburn,6
Rkitko,6
TParis,6
Arsenikk,6
Kurykh,6
The ed17,6
Cryptic,6
Peteforsyth,6
Coren,6
Feezo,6
Tassedethe,6
Voice of Clam,6
Extraordinary Machine,6
Renata3,5
Paul A,5
Hurricanehink,5
WereSpielChequers,5
Slambo,5
Arbitrarily0,5
Refdoc,5
Delirium,5
Anomie,5
Guettarda,5
DDima,5
Newyorkbrad,5
Huntster,5
CIreland,5
Llywrch,5
Resolute,5
The Earwig,4
Cbl62,4
Finlay McWalter,4
Star Mississippi,4
Carlossuarez46,4
David Levy,4
Viridae,4
Harrias,4
Consumed Crustacean,4
PresN,4
OhanaUnited,4
Michael Greiner,4
Olivier,4
Acather96,4
Edcolins,4
Necrothesp,4
Peripitus,4
Lord Roem,3
Geni,3
Keegan,3
Phantomsteve,3
WhisperToMe,3
MBisanz,3
Salix alba,3
Richwales,3
Willking1979,3
Bluerasberry,3
Angelo.romano,3
Masem,3
AuburnPilot,3
Philippe,3
Prodego,3
Slakr,3
Jfdwolff,3
Elahrairah,3
Tabercil,3
Paulmcdonald,3
Eleassar,3
LFaraone,3
OwenX,3
Vejvančický,3
Excirial,3
The Rambling Man,3
Trödel,3
Calliopejen1,3
Gadget850,3
Lenticel,3
Brookie,2
Xeno,2
RegentsPark,2
ProhibitOnions,2
Ktr101,2
Stephen,2
Capitalistroadster,2
Rambo&#039;s Revenge,2
JIP,2
David Gerard,2
Art LaPella,2
Ground Zero,2
Charles Matthews,2
Neelix,2
Jeepday,2
BrownHairedGirl,2
Wehwalt,2
MichaelQSchmidt,2
Topbanana,2
Ekabhishek,2
Rmhermen,2
Kevin Gorman,2
Stephan Schulz,2
Chuq,2
Dragons flight,2
Yaris678,2
Billinghurst,2
Cailil,2
Thehelpfulone,2
NJA,2
Valfontis,2
Fennec,2
Parsecboy,2
Sadads,2
Zero0000,2
Snowolf,2
Lupo,2
Prolog,2
JzG,2
Juliancolton,2
Rlendog,2
Catfish Jim and the soapdish,2
Rogerd,2
