User,Totals
CapitalR,18867
ProcseeBot,14571
Courcelles,6446
Explicit,2771
Cydebot,2735
Magog the Ogre,2599
JohnCD,2397
RHaworth,2190
Athaenara,2135
NawlinWiki,1866
Materialscientist,1610
HJ Mitchell,1547
Sphilbrick,1504
Edgar181,1255
Skier Dude,1234
Nakon,1087
Nyttend,1078
Acroterion,1055
JamesBWatson,968
Ronhjones,954
Od Mishehu,943
Plastikspork,934
DragonflySixtyseven,923
SchuminWeb,913
Lifebaka,899
Gogo Dodo,883
Bsadowski1,874
Favonian,855
Ron Ritzman,752
Ponyo,704
Anthony Appleyard,691
MuZemike,671
Cirt,648
HelloAnnyong,645
Alexf,630
Smartse,539
Orphaned image deletion bot,535
The Bushranger,523
Stephen,510
Dabomb87,506
VegaDark,498
Ged UK,496
Zscout370,494
DrKay,466
C.Fred,456
Elockid,454
Malik Shabazz,436
Closedmouth,434
Future Perfect at Sunrise,428
Rich Farmbrough,412
7,401
Orangemike,371
Good Olfactory,368
Diannaa,367
Bongwarrior,366
Nancy,361
Ironholds,351
Airplaneman,343
MGA73,328
Snowolf,326
Joe Decker,323
After Midnight,315
Tnxman307,314
Deb,302
Vejvančický,288
Lectonar,262
Tassedethe,261
Syrthiss,253
Anachronist,247
Timotheus Canens,245
Moonriddengirl,245
Kinu,237
King of Hearts,236
SlimVirgin,233
5 albert square,231
Discospinster,229
R&#039;n&#039;B,227
Ruslik0,221
Selket,221
Kww,219
DGG,214
ErikHaugen,211
Kuru,207
VernoWhitney,205
Mike Rosoft,200
Tide rolls,199
Vianello,197
Phantomsteve,193
TexasAndroid,188
Beeblebrox,188
Yet Another Redirect Cleanup Bot,187
Daniel Case,182
UtherSRG,181
Anthony Bradbury,180
CactusWriter,179
Wizardman,177
Graham87,176
GorillaWarfare,174
DMacks,173
Starblind,173
Ultraexactzz,173
Acalamari,168
Jac16888,167
Tiptoety,160
Versageek,160
Shell Kinney,155
Feydey,152
Gadfium,149
PeterSymonds,139
Jclemens,136
NuclearWarfare,136
Mike Selinker,133
Zzuuzz,131
OlEnglish,131
Jujutacular,130
AnemoneProjectors,128
SpacemanSpiff,127
LadyofShalott,124
Admrboltz,122
Barek,122
Wifione,120
Lear&#039;s Fool,119
Metropolitan90,118
Bearcat,118
Doug Weller,117
Martijn Hoekstra,116
Toddst1,116
Stwalkerster,116
Alison,115
Master of Puppets,114
Ohnoitsjamie,107
SarekOfVulcan,106
JzG,105
Fuhghettaboutit,103
Vegaswikian,103
Stifle,100
DYKUpdateBot,100
Vsmith,99
Dreadstar,95
CambridgeBayWeather,95
J04n,91
Icairns,90
Kwamikagami,90
Prolog,89
Dank,89
JeremyA,89
Soap,89
Nlu,87
Rodhullandemu,84
J Greb,84
B,84
Infrogmation,83
Tikiwont,83
TomStar81,82
Antandrus,82
JoJan,81
Tcncv,81
Luk,81
Panyd,78
Tonywalton,77
JHunterJ,76
Seraphimblade,75
Gonzonoir,74
Scientizzle,74
Sandstein,74
Black Falcon,72
Bencherlite,71
BD2412,70
Shirik,69
ErrantX,69
FisherQueen,69
Jayjg,68
Chase me ladies- I&#039;m the Cavalry,65
Fram,64
Danger,64
Voice of Clam,63
Stemonitis,63
Calliopejen1,62
Melesse,62
JIP,62
Magioladitis,62
Someguy1221,61
WereSpielChequers,59
LessHeard vanU,58
Tone,57
Kim Dent-Brown,56
Zzyzx11,56
Keegan,56
Floquenbeam,55
Nehrams2020,55
Smith609,54
Davewild,54
WOSlinker,54
Jafeluv,52
