User,Totals
Fastily,25803
Skier Dude,19067
Maxim,14062
Sphilbrick,11840
ProcseeBot,9681
Cydebot,6291
Magog the Ogre,5425
MGA73,5185
Courcelles,4884
Jarry1250,4127
JaGa,2158
Materialscientist,1925
Gogo Dodo,1901
NawlinWiki,1551
DragonflySixtyseven,1381
GB fan,1234
CharlieEchoTango,1162
Boing! said Zebedee,1158
Alexf,1109
MuZemike,1020
JamesBWatson,974
Edgar181,798
Peridon,795
Plastikspork,779
Salvio giuliano,741
Nyttend,725
The Blade of the Northern Lights,706
It Is Me Here,688
Guerillero,673
RHaworth,665
TParis,664
Jimfbleak,599
Ronhjones,581
R&#039;n&#039;B,577
Diannaa,567
Bongwarrior,566
Graham87,524
Reaper Eternal,508
The Bushranger,488
Favonian,476
Acroterion,476
Anthony Bradbury,471
Orangemike,433
Premeditated Chaos,431
Zzuuzz,426
HJ Mitchell,384
Good Olfactory,375
Tom Morris,361
Jac16888,351
HelloAnnyong,351
Elockid,349
Swarm,335
Future Perfect at Sunrise,334
GraemeL,324
Phantomsteve,317
Toddst1,311
Drmies,292
GorillaWarfare,284
Calliopejen1,281
DGG,274
Eagles247,268
DeltaQuad,256
Beeblebrox,249
Lectonar,248
Kudpung,246
Slon02,245
Od Mishehu,225
Prodego,213
Mike Selinker,205
Kinu,198
Daniel Case,194
Just Chilling,189
Spartaz,189
AGK,187
Anthony Appleyard,177
28bytes,177
Voice of Clam,176
Seraphimblade,175
Mentifisto,168
Master of Puppets,167
Tassedethe,165
January,164
Jayron32,163
Syrthiss,160
Smartse,155
Moonriddengirl,152
C.Fred,145
DarkFalls,144
Mkativerata,142
Sandstein,139
Ponyo,135
TexasAndroid,134
VegaDark,133
Malik Shabazz,132
Vejvančický,131
Vegaswikian,127
FisherQueen,124
Qwyrxian,124
Nabla,124
Tnxman307,122
The Anome,121
Arbitrarily0,118
Anachronist,115
Ron Ritzman,112
DMacks,111
Causa sui,108
Esanchez7587,108
Fram,105
Michig,105
Metropolitan90,104
Jayjg,102
Thehelpfulone,100
Malinaccier,100
Mifter,100
SilkTork,99
Catfish Jim and the soapdish,96
Hut 8.5,93
CT Cooper,92
Orphaned image deletion bot,87
Martijn Hoekstra,87
WOSlinker,86
Fluffernutter,86
Kwamikagami,84
WilliamH,84
Bearcat,83
Kuru,81
J.delanoy,81
PhilKnight,79
Barek,78
Bsadowski1,78
Paul Erik,77
LadyofShalott,77
AnemoneProjectors,75
Kww,74
AlexiusHoratius,73
Sjb72,73
Slakr,72
SpacemanSpiff,72
5 albert square,72
Eluchil404,70
DangerousPanda,69
Hersfold,68
Tikiwont,68
The JPS,67
JHunterJ,67
Cailil,67
Icairns,66
Crazytales,65
Tiptoety,65
CBM,65
Tone,64
Jimp,62
Snowolf,62
NuclearWarfare,62
JIP,61
Tide rolls,61
Mailer diablo,61
Nick-D,60
Mike Rosoft,60
EdJohnston,60
Wizardman,59
Acalamari,58
Bencherlite,57
Gadfium,55
Ruslik0,55
Doug Weller,55
Rich Farmbrough,55
Graeme Bartlett,55
7SeriesBOT,54
Mojo Hand,52
Arctic.gnome,52
Discospinster,52
CactusWriter,52
Hyacinth,52
Edokter,50
Fox,48
7,48
Ohnoitsjamie,48
Jafeluv,48
Smalljim,46
Fæ,46
Alison,46
Jpgordon,46
Vsmith,46
Ultraexactzz,44
Billinghurst,44
Coren,42
DoRD,41
Nikkimaria,40
Risker,40
Stemonitis,39
BD2412,38
Chase me ladies- I&#039;m the Cavalry,38
Gfoley4,37
TigerShark,35
Brookie,35
Closedmouth,35
Infrogmation,34
Excirial,34
WereSpielChequers,34
JohnCD,33
Horologium,32
J04n,31
Frank,31
David Levy,30
Joy,30
After Midnight,30
King of Hearts,30
Leyo,29
MaxSem,29
EurekaLott,29
Nihonjoe,29
CambridgeBayWeather,29
Ged UK,29
Dreadstar,29
Doc James,28
Mike Cline,28
Zscout370,27
Djsasso,27
Ben MacDui,27
Antandrus,26
Postdlf,26
DYKUpdateBot,26
Dravecky,25
Utcursch,25
Casliber,25
MIDI,24
Rmhermen,24
Fred Bauder,24
Killiondude,24
Rettetast,23
Geschichte,23
Nightscream,23
Hurricanehink,22
Alexandria,22
Cbl62,22
Athaenara,22
Danger,22
Nev1,22
Wifione,21
The Earwig,21
Elen of the Roads,21
ErikHaugen,21
Zanimum,21
Sadads,21
Kbh3rd,21
Thumperward,21
Prolog,20
Tedder,20
Deskana,20
Gwen Gale,20
Tonywalton,20
Hu12,20
Ganeshk,19
Carnildo,19
Zzyzx11,19
Ruud Koot,19
Dweller,19
Xymmax,18
The wub,18
Fuhghettaboutit,18
Anomie,18
Will Beback,18
Kurykh,17
Mufka,17
Canterbury Tail,17
Ks0stm,17
PeterSymonds,17
Kurt Shaped Box,17
Scott MacDonald,17
Worm That Turned,17
BrownHairedGirl,17
Dcoetzee,17
Donald Albury,16
Efe,16
Rlendog,16
J Greb,16
ErrantX,15
Dabomb87,15
Versageek,15
Wehwalt,15
CIreland,15
Thingg,15
JoJan,15
Jesse Viviano,14
Neelix,14
Sjakkalle,14
Spencer,14
Feydey,14
Shyamal,13
Victuallers,13
John,13
Neutrality,13
Maunus,13
WGFinley,13
Slp1,12
The Rambling Man,12
MastCell,12
Franamax,12
Gimmetrow,12
Edison,12
MilborneOne,12
Anetode,12
Kaldari,12
Choess,11
Philippe,11
Philosopher,11
DrKay,11
TomStar81,11
Savidan,11
Tyrol5,11
Ericorbit,11
Mjroots,10
Moriori,10
Black Kite,10
EncMstr,10
Y,10
Eleassar,10
SoWhy,10
Fetchcomms,10
Orlady,10
Eustress,10
Soap,10
Decltype,10
Carlossuarez46,10
PFHLai,10
Bibliomaniac15,10
Floquenbeam,10
B,10
AlexandrDmitri,10
Mdennis (WMF),9
Resolute,9
Cuchullain,9
Redrose64,9
Stifle,9
Ruhrfisch,9
Michael Greiner,9
Yet Another Redirect Cleanup Bot,9
J Milburn,9
Rami R,9
Timrollpickering,8
MSGJ,8
Daniel J. Leivick,8
Keegan,8
EncycloPetey,8
David Eppstein,8
Allen3,8
ChrisTheDude,8
Number 57,8
Jujutacular,8
Buckshot06,8
Melchoir,8
Arthur Rubin,8
Gadget850,8
Jeepday,8
Parsecboy,7
Gryffindor,7
Necrothesp,7
Wtmitchell,7
Theda,7
Garion96,7
Shii,7
Airplaneman,7
Jclemens,7
TenOfAllTrades,7
MichaelQSchmidt,7
Xeno,7
Waldir,7
Patar knight,7
Olivier,7
Wknight94,7
Seddon,7
Scott5114,7
Protonk,7
Avraham,7
KFP,7
Willking1979,7
Gnangarra,7
GTBacchus,6
Kingturtle,6
OwenX,6
Mlaffs,6
BOZ,6
Gyrofrog,6
Mike Peel,6
Bob the Wikipedian,6
Bkonrad,6
Edcolins,6
Connormah,6
Aervanath,6
OverlordQ,6
Lenticel,6
PrimeHunter,6
WhisperToMe,6
Bishonen,6
WJBscribe,6
MBisanz,6
Melburnian,6
Samir,5
Rjanag,5
Ianblair23,5
Keith D,5
Camw,5
PBS,5
Andrewa,5
Philippe (WMF),5
Jerzy,5
Thryduulf,5
Richwales,5
CapitalR,5
Kingpin13,5
Pedro,5
Mahagaja,5
OlEnglish,5
Ioeth,5
Andrew Gray,4
Spinningspark,4
Arsenikk,4
Stephan Schulz,4
Bearian,4
Shirik,4
Hawkeye7,4
Spellcast,4
Carioca,4
John Vandenberg,4
Fish and karate,4
Moondyne,4
Steven Walling,4
Dsmdgold,4
Chris G,4
Deb,4
Luk,4
Rifleman 82,4
Renata3,4
Melesse,4
Geni,4
Huntster,4
Golbez,4
Gamaliel,4
Magioladitis,4
Chick Bowen,3
Saravask,3
Sky Harbor,3
Darwinek,3
HappyCamper,3
Amorymeltzer,3
NoSeptember,3
