User,Totals
ProcseeBot,34687
RHaworth,4554
Diannaa,3188
Materialscientist,2746
Gilliam,1919
B,1855
Gogo Dodo,1825
Nakon,1771
JohnCD,1463
Smalljim,1429
Rjd0060,1403
NawlinWiki,1318
Jimfbleak,1182
Cydebot,974
Anthony Bradbury,946
FreeRangeFrog,819
AnomieBOT III,746
Mojo Hand,732
ReaderofthePack,711
Bbb23,686
Plastikspork,675
Kelapstick,672
Mike V,639
Peridon,584
Anthony Appleyard,573
Randykitty,557
MusikAnimal,542
GB fan,542
DGG,529
Magog the Ogre,520
Peripitus,519
PhilKnight,517
Jni,512
Chrislk02,505
MER-C,505
Davewild,447
Acroterion,427
Malcolmxl5,425
Edgar181,412
Just Chilling,390
JamesBWatson,344
Deb,340
James086,337
DragonflySixtyseven,328
Shirt58,317
Ymblanter,303
Closedmouth,303
Sphilbrick,303
Favonian,295
Alexf,291
Anna Frodesiak,286
Ponyo,285
Joe Decker,281
BDD,279
Fayenatic london,277
MelanieN,276
ThaddeusB,272
KrakatoaKatie,265
Graham87,256
C.Fred,255
DoRD,246
Drmies,244
CactusWriter,242
Fuhghettaboutit,231
Yunshui,231
Jac16888,225
Sergecross73,213
CambridgeBayWeather,207
Nihonjoe,196
HJ Mitchell,191
WilyD,174
Berean Hunter,171
Ged UK,164
Beeblebrox,164
Sandstein,159
Spartaz,155
Mackensen,155
Hadal,151
Glen,150
Northamerica1000,149
Jakec,147
Od Mishehu,145
Reaper Eternal,144
BD2412,140
Bongwarrior,139
IronGargoyle,137
Nyttend,136
Neutrality,132
Academic Challenger,131
Anne Delong,129
Mike Rosoft,126
Hut 8.5,120
TexasAndroid,116
Tiptoety,114
Samwalton9,112
Graeme Bartlett,110
5 albert square,108
BigrTex,107
Coffee,104
Stemonitis,103
DMacks,100
Michig,98
Nthep,93
The Anome,93
Deor,91
Black Kite,89
Vsmith,88
Bishonen,88
Callanecc,87
Versageek,85
Monty845,85
Kuru,85
Philg88,84
Future Perfect at Sunrise,84
Salvidrim!,82
Mlaffs,81
Huon,81
Nick-D,80
WereSpielChequers,79
EdJohnston,79
Jackmcbarn,78
GiantSnowman,78
Y,76
Bagumba,75
UtherSRG,73
TomStar81,71
Magioladitis,71
Zzuuzz,69
Barek,69
Postdlf,66
Allen3,65
SuperMarioMan,65
Ohnoitsjamie,65
Doug Weller,64
Nihiltres,62
Xaosflux,62
Casliber,62
Jayron32,60
Anetode,59
MGA73,58
Kinu,58
Euryalus,56
Rlendog,56
Swarm,55
Elockid,54
Discospinster,54
Tassedethe,53
GorillaWarfare,53
Bgwhite,52
Meno25,51
Arctic.gnome,50
Vianello,50
Orangemike,49
MilborneOne,48
Malik Shabazz,48
Ricky81682,46
Renata3,46
Paul Erik,46
Miniapolis,45
Rmhermen,45
Moonriddengirl,44
JzG,43
