User,Totals
ProcseeBot,13453
Juliancolton,3795
Drilnoth,2951
Maxim,2505
Quadell,2459
Fl,2261
Graham87,2203
Backslash Forwardslash,2031
Nakon,2023
MBisanz,1948
Edgar181,1939
Cirt,1796
J.delanoy,1704
JamieS93,1660
NawlinWiki,1614
Jclemens,1573
PMDrive1061,1533
Dank,1527
Mifter,1429
Indubitably,1381
Tnxman307,1361
Closedmouth,1264
Chris G,1176
Anthony Appleyard,1081
Luk,1062
Gogo Dodo,1050
R&#039;n&#039;B,1050
Athaenara,962
Stifle,937
Nehrams2020,929
Sherool,914
Mentifisto,895
Accounting4Taste,872
Feydey,813
Peripitus,696
Kbdank71,686
Nishkid64,674
Acroterion,667
Orangemike,658
Graeme Bartlett,651
PeterSymonds,627
Nihonjoe,621
Bongwarrior,612
DragonflySixtyseven,610
Flowerparty,609
Anthony Bradbury,603
RHaworth,588
Malcolmxl5,584
Ged UK,542
Bubba hotep,536
Mr.Z-man,516
ESkog,499
Xeno,492
Chase me ladies, I&#039;m the Cavalry,469
Cydebot,469
Toddst1,464
UninvitedCompany,461
Good Olfactory,458
Jimfbleak,436
SoWhy,419
PhilKnight,411
J Milburn,408
Nyttend,399
Tanthalas39,386
Orphaned talkpage deletion bot,385
JForget,364
Ruslik0,357
Rettetast,352
Bencherlite,351
Moonriddengirl,341
Mike V,339
Tiptoety,335
Redvers,333
JPG-GR,317
Jarry1250,301
Gilliam,300
Melesse,299
Alexf,295
Kinu,287
TexasAndroid,283
Discospinster,281
Billinghurst,279
DMacks,277
Magioladitis,274
Manning Bartlett,267
Aervanath,266
Ckatz,265
J Greb,261
C.Fred,252
Kurt Shaped Box,249
NJA,249
Mfield,248
Yet Another Redirect Cleanup Bot,248
Mazca,237
Hersfold,231
Andrwsc,229
Oscarthecat,227
Enigmaman,225
WereSpielChequers,225
CambridgeBayWeather,218
Fram,209
Malinaccier,208
Urhixidur,206
Lectonar,204
Tassedethe,203
Mufka,198
Dekimasu,197
Acalamari,195
Allen3,195
Wknight94,194
Fuhghettaboutit,193
Frank,185
MSGJ,184
KrakatoaKatie,183
Cobaltbluetony,182
Fabrictramp,181
CactusWriter,181
Syrthiss,180
JLaTondre,180
Geogre,179
Exploding Boy,179
JIP,175
Avraham,172
Vegaswikian,171
HangingCurve,165
Shereth,164
Dlohcierekim,160
Thehelpfulone,159
Ale jrb,158
FisherQueen,156
Fritzpoll,155
Carlossuarez46,152
Carioca,152
BorgQueen,150
DGG,150
Tony Fox,149
Rjanag,148
Bearcat,147
LessHeard vanU,146
Versageek,145
Garion96,145
Toon05,144
Brandon,138
BD2412,138
Bearian,137
Infrogmation,137
SarekOfVulcan,135
King of Hearts,135
Beetstra,130
Ixfd64,129
Rodhullandemu,129
William M. Connolley,128
Wizardman,124
Mattinbgn,121
Gadfium,120
Papa November,117
Paul Erik,117
Thatcher,117
Jayron32,114
Zzuuzz,113
DJ Clayworth,113
Mike Peel,110
Mojo Hand,109
Jéské Couriano,109
OverlordQ,108
AuburnPilot,105
Keith D,105
Seresin,104
Aitias,103
Seddon,102
Keeper76,102
The Anome,101
Friday,100
