User,Totals
Quadell,2268
Ahoerstemeier,1612
Jni,1204
RickK,845
RedWolf,678
Thue,668
Rdsmith4,622
Postdlf,419
Curps,406
Dbenbenn,406
Fuzheado,394
SWAdair,378
MacGyverMagic,374
Jnc,367
Niteowlneils,363
Academic Challenger,358
Infrogmation,358
DavidWBrooks,357
Joyous!,356
Geogre,308
Cdc,280
Duk,269
Utcursch,264
Adam Bishop,259
Deb,251
SimonP,232
Cyrius,216
Rfl,216
Hadal,208
Tony Sidaway,207
Violetriga,207
Neutrality,204
The Anome,204
Derek Ross,197
Gadfium,196
CryptoDerk,184
Ssd,179
Charles Matthews,173
Astronautics~enwiki,172
Dante Alighieri,172
AllyUnion,168
Ed g2s,153
DJ Clayworth,151
Ugen64,148
Dscos,143
Chris 73,136
Altenmann,134
Lupo,133
Bearcat,132
Rhobite,130
Gamaliel,130
Rje,128
Seth Ilys,127
VampWillow,125
Kosebamse,118
Aranel,116
Rossami,112
DanKeshet,108
PFHLai,97
Rich Farmbrough,94
Mustafaa,85
Raul654,84
Meelar,81
Phil Sandifer,80
Scott Burley,76
Rmhermen,71
Mirv,67
Brian0918,65
Jpgordon,63
Danny,61
Sannse,61
RedWordSmith,60
SlimVirgin,58
Ævar Arnfjörð Bjarmason,58
Grutness,57
Geni,56
Michael Snow,55
Malcolm Farmer,54
KF,52
Merovingian,51
Rlandmann,51
Mark Dingemanse,51
Jfdwolff,50
Ta bu shi da yu,50
Ferkelparade,46
Stan Shebs,46
Frazzydee,46
Carbonite,45
Duncharris,43
Mark,41
Jayjg,40
ClockworkSoul,39
Flockmeal,38
Docu,37
Mav,37
Grunt,35
Dysprosia,35
Knowledge Seeker,33
Refdoc,33
Karada,32
Jiang,32
Nunh-huh,31
OldakQuill,31
Inter,31
Jdforrester,31
Tillwe,31
Edward,30
Solipsist,30
Jimfbleak,30
Hajor,27
Oberiko,27
Fys,26
Jmabel,25
Warofdreams,25
UtherSRG,24
Pharos,24
TUF-KAT,23
David.Monniaux,23
RetiredUser2,23
Cecropia,22
TheCustomOfLife,22
CJCurrie,20
JCarriker,19
Bradeos Graphon,18
Woggly,18
Nohat,18
Decumanus,18
Waltpohl,18
Arwel Parry,18
Stormie,18
BrokenSegue,17
Dpbsmith,17
Timwi,17
Moncrief,17
Formeruser-81,16
Everyking,16
Bkonrad,16
Theresa knott,16
Jrdioko,16
Zanimum,16
Ed Poor,15
Magnus Manske,15
Hemanshu,15
David Gerard,15
Dbachmann,15
John K,15
Wile E. Heresiarch,15
Ezhiki,15
Paul Benjamin Austin,14
Bryan Derksen,13
Vanished user 5zariu3jisj0j4irj,13
Isomorphic,13
Delirium,13
Nichalp,13
Joy,13
Saltine,12
Conti,12
Zoney,12
CSTAR,12
Gwalla,12
Angela,12
Stevertigo,12
DropDeadGorgias,12
Hyacinth,12
Ran,11
Viajero,11
Snoyes,10
Olivier,9
Daniel Quinlan,9
Lowellian,9
Matt Crypto,9
Davodd,9
Cacycle,8
Patrick,8
Jamesday,8
Jtdirl,7
Rholton,7
DavidLevinson,7
Slowking Man,7
Brion VIBBER,7
ChrisO~enwiki,7
Dcoetzee,7
Icairns,7
AntonioMartin,7
Golbez,6
Gentgeen,6
Elf,6
Michael Hardy,6
PZFUN,6
Anthere,6
Moink,6
Smith03,6
Davidcannon,6
Tim Starling,6
Omegatron,5
Eloquence,5
172,5
Fredrik,5
Gtrmp,5
Dmn,5
Gabbe,4
Vaoverland,4
Urhixidur,4
Zoicon5,4
Filiocht,4
Cool Hand Luke,4
Andrevan,4
Fennec,4
UninvitedCompany,4
Earl Andrew,4
Ike9898,4
Bcorr,4
WhisperToMe,4
Aris Katsaris,3
Zero0000,3
Alteripse,3
Francs2000,3
Henry Flower,3
Pcb21,3
JohnOwens,3
Gerald Farinas,3
Vague Rant,3
Piotrus,3
Menchi,3
Mark Richards,3
Timc,3
Mackensen,3
Andrew Yong,3
Bumm13,3
Cimon Avaro,3
David Newton,2
Catbar,2
Pakaran,2
Fred Bauder,2
Taxman,2
Sj,2
Kaihsu,2
Morwen,2
Jwrosenzweig,2
Maury Markowitz,2
Wapcaplet,2
JeLuF,2
Toby Bartels,2
G-Man,2
Mackeriv,2
Rbrwr,1
Poor Yorick,1
Slambo,1
CatherineMunro,1
Slrubenstein,1
Wernher,1
Timrollpickering,1
Chuq,1
Khendon,1
Morven,1
Paul A,1
Zippy,1
Jimbo Wales,1
Owen,1
Denni,1
Ludraman,1
Arminius,1
Camembert,1
Llywrch,1
Andrewa,1
Johnleemk,1
Ihcoyc,1
Tannin,1
Ram-Man,1
Tom-,1
AxelBoldt,1
Marshman,1
Minesweeper,1
Kim Bruning,1
Kingturtle,1
Modemac,1
