User,Totals
Misza13,19334
NawlinWiki,6375
Mailer diablo,4990
Ligulem,4722
Betacommand,4068
Fang Aili,3346
Mets501,3083
Nv8200pa,2935
Can&#039;t sleep- clown will eat me,2414
Steel,2327
RenamedUser jaskldjslak904,2161
Ryulong,2151
Garion96,2114
Gogo Dodo,2096
Alphachimp,2008
Quarl,2001
Shyam,1853
Kimchi.sg,1816
Sherool,1767
Nixeagle,1634
CBDunkerson,1632
Retired username,1558
RHaworth,1508
Centrx,1503
Cryptic,1503
B,1465
Wizardman,1425
TexasAndroid,1418
Kusma,1359
Jimfbleak,1326
Conscious,1296
Ed g2s,1284
Nishkid64,1223
Lectonar,1216
Irishguy,1187
Kafziel,1163
Luna Santin,1128
Cyde,1124
JzG,1094
Mahagaja,1086
Edgar181,1059
Feydey,1055
Geni,1026
Chrislk02,1025
Daniel,1020
YellowMonkey,992
Pathoschild,991
Pilotguy,990
Dina,967
Coredesat,906
Arjun01,900
Fish and karate,878
Doug Bell,854
Pgk,808
(aeropagitica),806
Mike Rosoft,787
Persian Poet Gal,755
Only,740
Merope,739
FreplySpang,732
Thatcher,730
Riana,724
Royalguard11,715
DragonflySixtyseven,711
Future Perfect at Sunrise,705
Academic Challenger,698
Chairboy,691
Kuru,682
Pschemp,669
TheParanoidOne,651
Mysid,647
Yamla,629
Woohookitty,627
Redvers,616
Kungfuadam,609
Darwinek,607
Shreshth91,601
JLaTondre,597
Khoikhoi,568
Enochlau,558
Vanished user 5zariu3jisj0j4irj,554
CesarB,554
IronGargoyle,524
JoJan,518
Tregoweth,515
Meegs,504
ChrisGriswold,488
Xaosflux,488
GTBacchus,485
Chick Bowen,485
Majorly,484
CambridgeBayWeather,482
Deb,463
ProveIt,459
RobertG,454
Delirium,452
Antandrus,451
Netsnipe,450
CJLL Wright,450
Wknight94,448
El C,448
Sandstein,447
VegaDark,444
Luigi30,440
EVula,428
NoSeptember,426
Renata3,422
Allen3,417
Quadell,416
Cbrown1023,412
Zzuuzz,412
Isotope23,379
Mike Selinker,353
Y,346
Magister Mathematicae,342
InShaneee,340
Friday,340
Shanel,340
Swatjester,327
Keegan,325
Ahoerstemeier,319
Pagrashtak,305
Alex Bakharev,303
Malcolm,298
J.smith,292
SCEhardt,289
Gwernol,288
Vegaswikian,287
Howcheng,287
King of Hearts,279
Tom harrison,272
Sir Nicholas de Mimsy-Porpington,271
Newyorkbrad,268
ChrisO~enwiki,264
Makemi,264
Commander Keane,260
Infrogmation,249
Nihonjoe,248
Glen,242
Jersyko,241
Nlu,239
Robdurbar,234
Longhair,227
Tone,227
Tyrenius,223
Durin,221
H,220
Anetode,219
Zzyzx11,212
Renamed user ixgysjijel,212
Picaroon,211
Herostratus,209
Tariqabjotu,206
Yandman,205
CanadianCaesar,204
Ginkgo100,202
Sue Anne,200
Bobo192,200
Heimstern,199
Malo,199
PFHLai,194
Grutness,194
Opabinia regalis,193
The Anome,192
Vsmith,192
The Moose,190
Deskana,188
Husond,186
RyanGerbil10,185
Jayjg,182
GRBerry,178
Aaron Brenneman,178
Theresa knott,177
No Guru,176
BorgQueen,174
DVD R W,174
BozMo,171
Avraham,170
Aksi great,168
Duja,167
Wwwwolf,167
The JPS,167
Gilliam,164
FayssalF,164
Stephen Bain,161
Jpgordon,159
Zsinj,158
TimVickers,156
Firsfron,153
RadioKirk,152
17Drew,151
Kukini,150
DanielCD,150
Bucketsofg,149
Mackensen,149
Jersey Devil,149
Agathoclea,149
Aude,149
DaGizza,147
Essjay,146
Denni,145
Samuel Blanning,144
Aecis,143
SlimVirgin,142
Dominic,141
Jkelly,139
Ramitmahajan,137
Melchoir,137
Robth,135
Radiant!,135
KillerChihuahua,134
Altenmann,134
David Levy,134
Doc glasgow,133
Atlant,128
Chaser,128
Shadow1,125
Wiki alf,125
Shanes,124
CJ,124
Evil Monkey,121
Carabinieri,120
JeremyA,120
Jeffrey O. Gustafson,119
Bbatsell,115
Qwghlm,115
ERcheck,113
Mel Etitis,113
Thunderbrand,112
Postdlf,112
Rholton,109
Dante Alighieri,108
James086,106
Sarah,104
JDoorjam,103
Viridae,102
Theda,102
AmiDaniel,101
Geogre,100
Kaisershatner,99
AnemoneProjectors,99
UtherSRG,99
Fram,98
Trebor,98
Gadfium,96
Trialsanderrors,95
Mangojuice,95
Nae&#039;blis,94
Kingboyk,94
Bobet,94
Premeditated Chaos,93
Brookie,92
Tawker,91
Kyle Barbour,89
Tijuana Brass,88
Raul654,87
Wangi,87
Freakofnurture,86
Zscout370,86
Slowking Man,86
Neutrality,83
TheCoffee,82
Harej,82
ReyBrujo,81
Mairi,81
Rlevse,81
Bradeos Graphon,81
David Kernow,80
Bastique,79
WikiLeon,78
Golbez,77
Utcursch,76
Bearcat,75
Oscarthecat,75
Chris 73,73
Ram-Man,73
MacGyverMagic,72
The wub,72
Gnangarra,71
Tango,70
Henrygb,70
JoanneB,69
Joyous!,69
Prodego,68
Stemonitis,67
Hu12,67
Moondyne,66
Deiz,66
Alai,65
UkPaolo,65
Tom,65
Josiah Rowe,64
William M. Connolley,64
MrDarcy,64
Cholmes75,64
Geschichte,62
A Train,62
Cowman109,62
Wickethewok,61
Kurykh,61
Bkonrad,61
Extraordinary Machine,61
Oleg Alexandrov,60
Gamaliel,60
Cool Hand Luke,60
Delldot,60
Garzo,59
PDH,59
Consumed Crustacean,59
Ohnoitsjamie,58
Lupo,58
Natalya,58
Docu,57
Hesperian,57
Musical Linguist,55
JIP,55
Alkivar,53
TigerShark,53
Dave souza,52
