User,Totals
ProcseeBot,6586
Cydebot,4479
RHaworth,3142
Explicit,2469
Diannaa,2463
INeverCry,2123
Materialscientist,2002
NawlinWiki,1850
JohnCD,1702
Alexf,1271
Malik Shabazz,1097
Addshore,1093
RenamedUser jaskldjslak901,1092
Yunshui,1067
Gogo Dodo,1019
JamesBWatson,996
The Bushranger,830
Peridon,828
Malcolmxl5,757
Magog the Ogre,756
DragonflySixtyseven,735
Elockid,731
GiantSnowman,719
Plastikspork,603
Mark Arsten,570
Vejvančický,532
DeltaQuad,475
Someguy1221,467
Future Perfect at Sunrise,455
Wizardman,445
Bongwarrior,410
Bbb23,370
GB fan,369
J04n,369
Edgar181,365
Rschen7754,332
Darkwind,316
Drmies,314
DGG,312
Tassedethe,312
AGK,288
Toddst1,284
James086,264
Nyttend,252
Anthony Appleyard,249
Excirial,245
Fram,238
MBisanz,231
Graeme Bartlett,229
Smartse,224
Anthony Bradbury,215
Reaper Eternal,213
WOSlinker,209
Anachronist,209
Dlohcierekim,208
DangerousPanda,206
JHunterJ,203
Favonian,197
C.Fred,194
InShaneee,188
Acroterion,187
Ponyo,186
DoRD,162
Kww,161
Vsmith,156
Qwyrxian,153
Good Olfactory,153
Jac16888,149
Beeblebrox,143
Mike V,142
HJ Mitchell,140
Mike Rosoft,139
Writ Keeper,138
Discospinster,137
Gadfium,137
5 albert square,133
Doug Weller,121
JIP,120
Floquenbeam,118
TexasAndroid,105
BD2412,105
Orangemike,105
Spencer,103
Sphilbrick,102
Ronhjones,101
Bencherlite,100
BrownHairedGirl,98
R&#039;n&#039;B,98
Miniapolis,97
CactusWriter,96
J.delanoy,95
Daniel Case,94
Tim!,92
Voice of Clam,90
EdJohnston,90
Mackensen,87
Tyrol5,87
Crisco 1492,86
Lord Roem,84
Bsadowski1,83
Timrollpickering,82
Graham87,80
Mr. Stradivarius,79
WereSpielChequers,77
Hu12,77
Metropolitan90,77
Lectonar,76
DMacks,76
Ks0stm,73
Smalljim,72
Chick Bowen,72
IronGargoyle,71
Jimfbleak,70
Deacon of Pndapetzim,69
Tikiwont,69
Athaenara,69
Jafeluv,65
Black Kite,65
Prodego,61
Gfoley4,61
Fvasconcellos,61
Barek,57
WilliamH,55
Elahrairah,55
Mufka,54
EncMstr,54
Sandstein,54
AnemoneProjectors,54
Hersfold,54
Salvio giuliano,53
WilyD,53
FisherQueen,53
De728631,52
DrKay,51
Moonriddengirl,51
Ganeshk,49
King of Hearts,48
Mentifisto,47
Joy,47
Soap,46
Salvidrim!,46
KillerChihuahua,45
Fayenatic london,45
Joe Decker,44
It Is Me Here,44
Cuchullain,44
Kuru,44
Fluffernutter,43
Nabla,42
Paul Erik,42
Ruslik0,42
Esanchez7587,41
Viridae,40
Royalbroil,38
SarekOfVulcan,37
Od Mishehu,37
Airplaneman,37
Xezbeth,37
Riana,35
Bearcat,35
7,35
Deskana,35
Mlaffs,34
Dcoetzee,34
Malinaccier,34
LadyofShalott,34
Brookie,33
Ged UK,33
TheCatalyst31,33
Nick-D,33
Master of Puppets,33
TParis,33
Swarm,31
Tom harrison,31
Jauerback,31
Hut 8.5,30
Hoary,29
Garion96,29
Michig,28
January,28
Zzuuzz,28
Number 57,28
Berean Hunter,27
Amorymeltzer,27
Sasquatch,27
Bagumba,27
Syrthiss,27
Versageek,27
KTC,27
Zagalejo,26
Nihonjoe,26
Geschichte,25
Michael Greiner,25
Mojo Hand,24
Deb,24
Rjd0060,24
The ed17,24
Keith D,24
Scottywong,23
Ultraexactzz,23
Just Chilling,23
Timotheus Canens,22
Courcelles,22
Dreadstar,22
Dpmuk,22
Stifle,22
Prolog,22
Closedmouth,22
Jpgordon,22
ItsZippy,22
Avraham,21
Kudpung,20
Neelix,20
The Rambling Man,20
RegentsPark,20
Spartaz,20
Daniel,20
Mike Selinker,20
Doc James,19
Brianga,19
Alison,19
Arthur Rubin,19
Connormah,18
Orlady,18
Gilliam,18
Billinghurst,18
Sergecross73,17
Danger,17
28bytes,17
The Anome,17
Keilana,17
Bkonrad,16
Bishonen,16
Sjakkalle,16
Salix alba,16
Eleassar,16
Ohnoitsjamie,16
Sjb72,15
Gamaliel,15
NativeForeigner,15
VernoWhitney,15
MaxSem,15
Steven Walling,15
Delldot,15
Mike Cline,15
Rmhermen,15
AuburnPilot,14
Slon02,14
Epbr123,14
Slp1,14
Ironholds,14
Kim Dent-Brown,14
DDima,13
Jayron32,13
Dana boomer,13
Mdennis (WMF),13
David Fuchs,13
PBS,13
Ryan Postlethwaite,13
Kinu,13
Peteforsyth,13
Tóraí,13
Patar knight,12
SilkTork,12
CT Cooper,12
Black Falcon,12
DaGizza,12
BOZ,12
David Levy,12
Fox,12
Utcursch,12
Jerry,12
Guerillero,12
Tide rolls,11
Dweller,11
Elen of the Roads,11
Sage Ross (WMF),11
ChrisTheDude,11
Thumperward,11
ErikHaugen,11
Vegaswikian,11
X!,11
Amalthea,10
Xymmax,10
Zzyzx11,10
Wifione,10
Wtmitchell,10
JoJan,10
David Eppstein,10
Jujutacular,10
Grutness,10
Gyrofrog,10
Anomie,10
Fuhghettaboutit,10
Buckshot06,10
Filelakeshoe,9
Rklawton,9
Tom Morris,9
DYKUpdateBot,9
Philosopher,9
Shirik,9
Mindmatrix,9
Maxim,9
Ekabhishek,8
Infrogmation,8
Parsecboy,8
Espresso Addict,8
Bjelleklang,8
CJCurrie,8
Scott,8
TwinsMetsFan,8
Jayjg,8
Calliopejen1,8
Jinian,8
Nightscream,8
Bkell,7
The Blade of the Northern Lights,7
Resolute,7
Ucucha,7
SouthernNights,7
NuclearWarfare,7
J Greb,7
Dennis Brown,7
Thryduulf,7
GorillaWarfare,7
Geniac,7
EVula,7
Mushroom,7
Coren,7
Carlossuarez46,7
Golbez,7
Ihcoyc,7
Missvain,7
Acalamari,6
WhisperToMe,6
Spinningspark,6
Yngvadottir,6
CambridgeBayWeather,6
Bearian,6
Arbitrarily0,6
Ceranthor,6
Ocaasi,6
Snowolf,6
KrakatoaKatie,6
Ezhiki,6
Andrewa,6
Dravecky,5
Postdlf,5
Shanes,5
Andrew Gray,5
Lankiveil,5
Earl Andrew,5
OhanaUnited,5
Wwoods,5
Kafziel,5
JeremyA,5
Ianblair23,5
Ericorbit,5
Waggers,5
Antandrus,5
Rkitko,5
GoldRingChip,5
Arsenikk,5
Thingg,5
Catfish Jim and the soapdish,5
Jimp,5
Charles Matthews,5
Kaldari,5
Deryck Chan,5
Thehelpfulone,5
Redrose64,5
Ddstretch,5
Jason Quinn,5
Djsasso,5
Penwhale,5
Bgwhite,4
B,4
Edokter,4
Sherool,4
Killiondude,4
Victuallers,4
Necrothesp,4
Mike Peel,4
Carabinieri,4
Kayz911,4
Tiptoety,4
Seraphimblade,4
John,4
Gabbe,4
Enigmaman,4
Beetstra,4
Jclemens,4
David Gerard,4
MilborneOne,3
Zero0000,3
Kevin Gorman,3
Mahagaja,3
Zscout370,3
Sj,3
Firsfron,3
AlexiusHoratius,3
ThaddeusB,3
PresN,3
Jdforrester,3
Risker,3
Zanimum,3
Canterbury Tail,3
Kingpin13,3
SlimVirgin,3
MLauba,3
Euryalus,3
J Milburn,3
Daniel J. Leivick,3
Waldir,3
John Vandenberg,3
Ruhrfisch,3
Pongr,3
Hurricanehink,3
EurekaLott,3
Casliber,3
PrimeHunter,3
Timwi,3
OwenX,3
Hit bull, win steak,3
Pharos,3
Andrevan,3
Fred Bauder,3
Richwales,3
Ktr101,2
Gryffindor,2
Harrias,2
Atama,2
Calmer Waters,2
Graham Beards,2
Dbachmann,2
Etlib,2
Worm That Turned,2
Magioladitis,2
Tawker,2
Lenticel,2
Bduke,2
Mfield,2
Crazycomputers,2
Allen3,2
Jalexander-WMF,2
Jeepday,2
Phantomsteve,2
Ruud Koot,2
Fuzheado,2
Rifleman 82,2
TheDJ,2
Lowellian,2
Woohookitty,2
Jonathunder,2
Melesse,2
Panyd,2
Marine 69-71,2
Gaius Cornelius,2
Moriori,2
Finlay McWalter,2
Ynhockey,2
