User,Totals
ProcseeBot,12129
MBisanz,7633
Fastily,3716
MrKIA11,3225
NawlinWiki,2739
Materialscientist,2578
Skier Dude,2511
JohnCD,2370
PMDrive1061,2286
Explicit,2242
Angusmclellan,2080
Graham87,1895
SchuminWeb,1551
DragonflySixtyseven,1490
Acroterion,1464
Tnxman307,1414
Edgar181,1229
Gogo Dodo,1228
J.delanoy,1158
Cydebot,1102
NuclearWarfare,1075
Willking1979,937
Alexf,882
Cirt,873
Nyttend,859
Athaenara,858
SpacemanSpiff,840
Jac16888,721
Peripitus,687
Jclemens,651
RenamedUser jaskldjslak903,643
Malik Shabazz,629
Plastikspork,623
Ronhjones,580
Tedder,564
Yet Another Redirect Cleanup Bot,561
Amorymeltzer,557
Juliancolton,543
Anthony Appleyard,530
JamieS93,515
MuZemike,503
Ged UK,494
WereSpielChequers,492
Orangemike,483
Nancy,479
Accounting4Taste,455
Closedmouth,427
Beeblebrox,422
Jayjg,401
Moonriddengirl,399
Coffee,390
Anthony Bradbury,389
Mentifisto,372
PhilKnight,366
Toddst1,356
Wizardman,350
Dank,348
Melesse,346
Orderinchaos,343
RHaworth,342
Lectonar,342
NJA,315
Killiondude,315
BD2412,307
Enigmaman,306
Arbitrarily0,291
JForget,277
Kralizec!,274
Nihiltres,273
Hyacinth,270
PeterSymonds,269
Good Olfactory,260
Pascal.Tesson,254
SoWhy,253
Malinaccier,246
C.Fred,245
Kusma,241
Frank,231
Saltine,230
Kevin,228
J Greb,221
Jimfbleak,221
DGG,220
Wknight94,219
Zzuuzz,218
Skomorokh,217
Od Mishehu,216
2over0,212
Rodhullandemu,211
Seraphimblade,201
Luk,195
Nihonjoe,195
Oxymoron83,190
Xeno,187
Kuru,182
Hersfold,176
DMacks,173
Daniel Case,168
Tone,161
BrownHairedGirl,159
SGGH,158
Tanthalas39,158
Topbanana,154
LadyofShalott,154
DESiegel,151
Decltype,151
R&#039;n&#039;B,150
Scott MacDonald,149
Garion96,148
Tiptoety,142
Tassedethe,141
Ucucha,137
Doug Weller,135
AnemoneProjectors,135
FisherQueen,133
JIP,130
Seresin,129
Fences and windows,128
The Anome,128
Syrthiss,126
Julia W,125
Jake Wartenberg,121
CambridgeBayWeather,116
Orphaned image deletion bot,114
Graeme Bartlett,114
OverlordQ,113
Alison,111
Mufka,109
JoJan,108
MSGJ,108
JPG-GR,107
Golbez,106
Canterbury Tail,104
Xdamr,102
Spartaz,102
HangingCurve,102
Redvers,102
JeremyA,102
Fuhghettaboutit,101
Vianello,101
Rettetast,94
Adambro,94
Anetode,93
Altenmann,93
CactusWriter,92
Vegaswikian,90
LessHeard vanU,87
Atama,86
DJ Clayworth,85
Gadfium,85
King of Hearts,85
MilborneOne,84
Bearian,84
Theresa knott,83
Bearcat,83
Black Kite,82
John Vandenberg,82
Jayron32,82
BorgQueen,82
AlexiusHoratius,81
Infrogmation,81
Harej,80
Hut 8.5,77
Malcolmxl5,77
Bibliomaniac15,77
X!,77
Brandon,76
Black Falcon,75
Zsinj,74
Avraham,74
Prolog,74
Marasmusine,73
Zscout370,71
Allen3,70
Gadget850,68
ESkog,68
Tony Fox,65
Jpgordon,64
Bencherlite,63
EncMstr,62
Steve Smith,62
MIDI,61
Tcncv,59
Delldot,59
Dweller,59
Shell Kinney,59
Ruslik0,57
After Midnight,56
Amalthea,55
Stemonitis,54
Thatcher,54
Carioca,54
Ultraexactzz,54
HighInBC,54
Jéské Couriano,53
Fram,53
Prodego,52
Backslash Forwardslash,52
Useight,51
Pats1,51
Sandstein,51
Mojo Hand,50
Shereth,50
Andrwsc,50
TheDJ,49
Nev1,48
Abecedare,48
Slakr,46
Deb,46
Paul Erik,46
Rama,45
CT Cooper,43
Rschen7754,42
Anonymous Dissident,42
Gimmetrow,42
JHunterJ,41
YellowMonkey,41
Icairns,41
Tikiwont,41
Rjd0060,41
MZMcBride,41
Cenarium,40
Rich Farmbrough,40
Discospinster,39
Jinian,39
Karanacs,38
MacGyverMagic,38
Shubinator,38
Steven Walling,38
Gilliam,37
Sjb72,37
Jesse Viviano,37
Lankiveil,37
Nick-D,37
Friday,37
Daniel J. Leivick,36
Future Perfect at Sunrise,36
Magioladitis,36
Billinghurst,35
Ckatz,35
SebastianHelm,35
Vsmith,34
Postdlf,34
Moreschi,34
Orphaned talkpage deletion bot,34
KillerChihuahua,34
ThaddeusB,34
