User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8010	105	0	0	72	54	10	124	1	1	0	0	8377
AndyZ	911	12	0	0	0	0	0	113	4	0	0	0	1040
AnemoneProjectors	1691	138	11	0	164	55	14	249	2	14	0	1	2339
Anetode	9296	346	0	0	258	14	8	1261	61	0	0	8	11252
AngelOfSadness	1037	2	0	0	44	2	5	134	14	1	0	0	1239
Angela	2329	43	0	0	5	2	0	59	30	0	158	7	2633
Angelo.romano	1069	118	0	0	141	18	14	88	2	2	0	0	1452
Angr	34448	214	2	0	211	52	33	797	29	4	0	0	35790
Angusmclellan	20307	219	0	0	14	2	1	70	9	1	0	17	20640
AniMate	255	7	5	0	18	2	1	114	13	9	0	3	427
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1470	25	0	0	383	33	58	502	14	7	683	64	3239
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7494	27	7	0	430	57	40	5544	354	65	0	3	14021
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	28605	4499	0	0	91	9	22	1	0	0	0	0	33227
Anthony Bradbury	16791	75	0	0	73	3	4	1718	40	38	0	2	18744
AntiAbuseBot	50	0	7	0	0	0	46	1092	2	21	0	0	1218
AntonioMartin	9	5	0	0	7	3	0	5	18	0	0	0	47
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	224	29	0	0	75	6	29	54	2	0	0	8	427
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	1525	197	0	0	10	0	2	0	0	0	0	114	1848
Arcadian	244	27	0	0	32	1	0	76	4	0	0	0	384
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	291	67	0	0	19	5	2	25	1	1	0	2	413
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	557	6	0	0	117	23	0	402	14	1	0	0	1120
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	6	1	1	0	0	268
Arsenikk	18	0	0	0	0	0	0	0	0	0	0	0	18
Art LaPella	72	2	0	0	0	0	0	0	0	0	0	0	74
Arthur Rubin	486	53	13	0	46	10	5	393	49	12	0	2	1069
