User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Aksi great	1926	12	0	0	26	8	1	591	30	0	0	0	2594
Al Ameer son	28	3	0	0	7	2	3	6	1	0	0	1	51
Alai	1393	17	0	0	10	3	0	42	3	0	0	0	1468
AlainV	1	0	0	0	0	0	0	0	0	0	0	0	1
Alasdair	547	3	0	0	11	1	0	226	11	1	0	0	800
Aldux	112	1	0	0	170	36	0	201	18	0	0	0	538
Ale jrb	1310	10	0	0	3	1	0	315	5	1	0	4	1649
Alex Bakharev	1736	153	0	0	496	46	50	1791	183	5	0	0	4460
Alex S	34	4	0	0	0	0	0	0	0	0	0	0	38
Alex Shih	311	3	0	0	12	5	0	41	0	0	0	0	372
Alex.muller	552	24	0	0	22	1	1	307	15	0	0	11	933
Alex756	2	0	0	0	0	0	0	0	0	0	0	0	2
Alexf	18191	108	0	0	326	10	73	5139	39	9	0	0	23895
AlexiusHoratius	112	0	0	0	339	6	101	459	0	6	0	0	1023
Alhutch	621	3	0	0	15	6	0	175	9	0	0	0	829
Alison	2562	147	191	126	1194	199	183	5177	353	56	0	73	10261
AlisonW	488	11	0	0	56	5	2	126	10	0	0	0	698
AlistairMcMillan	215	18	0	0	17	1	0	63	4	0	0	0	318
AliveFreeHappy	192	1	0	0	2	0	0	2	0	0	0	0	197
Alkivar	2396	136	0	0	252	27	9	470	41	0	0	0	3331
Allen3	11123	55	0	0	224	52	13	135	5	0	0	1	11608
AllyUnion	1913	26	0	0	98	11	0	38	11	0	0	0	2097
Alphachimp	6552	108	0	0	292	146	1	3926	118	2	0	0	11145
Altenmann	5195	267	0	0	287	65	24	1303	100	5	0	0	7246
Alteripse	2	0	0	0	2	1	0	14	1	0	0	0	20
Alvestrand	458	29	0	0	8	4	0	56	4	2	0	0	561
Amalas	1220	2	0	0	4	52	0	0	0	0	0	0	1278
Amalthea	2656	73	0	0	62	12	7	94	15	15	0	15	2949
Amberrock	545	7	0	0	19	3	0	115	9	0	0	0	698
