User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Acropolis now	0	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	48881	182	378	0	1032	22	65	4229	74	206	0	26	55095
Adam Bishop	3655	19	0	0	46	14	2	122	22	0	0	1	3881
Adambiswanger1	75	0	0	0	15	4	0	48	1	0	0	0	143
Adambro	1953	18	3	0	57	1	7	239	6	9	0	5	2298
Adashiel	362	51	0	0	51	33	1	369	29	0	0	0	896
Addshore	855	11	0	0	11	1	15	248	8	7	0	6	1162
AdjustShift	164	0	0	0	17	1	1	551	2	29	0	2	767
Admiral Norton	380	6	0	0	6	0	0	6	0	0	0	2	400
Admrboltz	3256	6	2	0	43	15	1	384	14	5	0	2	3728
Aecis	3805	39	0	0	91	5	0	163	3	0	0	0	4106
Aervanath	2141	309	0	0	48	6	6	53	10	2	0	0	2575
After Midnight	52878	355	0	0	32	7	0	61	6	0	0	0	53339
Agathoclea	1209	63	1	0	53	7	4	175	16	1	0	1	1530
Ahoerstemeier	13563	107	0	0	43	5	1	2023	11	2	0	0	15755
Airplaneman	4183	76	28	0	572	23	116	116	0	2	0	6	5122
Ais523	299	16	0	0	16	3	0	8	6	0	0	0	348
Aitias	3438	68	0	0	224	18	298	1224	78	51	0	74	5473
Akhilleus	861	5	0	0	45	3	4	432	30	1	0	0	1381
Akradecki	5185	53	0	0	168	3	3	304	22	31	0	0	5769
Aksi great	1926	12	0	0	28	9	1	591	30	0	0	0	2597
Al Ameer son	66	3	0	0	8	2	3	6	1	0	0	1	90
Alai	1393	17	0	0	10	3	0	42	3	0	0	0	1468
AlainV	1	0	0	0	0	0	0	0	0	0	0	0	1
Alasdair	547	3	0	0	11	1	0	227	11	1	0	0	801
Aldux	124	1	0	0	170	36	0	201	18	0	0	0	550
Ale jrb	1472	10	0	0	7	1	0	423	27	1	0	4	1945
Alex Bakharev	1754	156	3	0	511	47	54	1842	185	6	0	0	4558
Alex S	34	4	0	0	0	0	0	0	0	0	0	0	38
Alex Shih	312	3	0	0	12	5	0	41	0	0	0	0	373
Alex.muller	569	25	5	0	24	1	3	311	15	0	0	11	964
Alex756	2	0	0	0	0	0	0	0	0	0	0	0	2
AlexandrDmitri	2434	11	8	0	21	1	4	390	4	14	0	7	2894
Alexandria	2627	23	11	0	89	6	19	522	36	25	0	1	3359
Alexf	32776	215	351	0	484	12	92	13154	53	67	0	0	47204
AlexiusHoratius	215	0	0	0	1420	20	314	546	0	10	0	0	2525
Alhutch	621	3	0	0	15	6	0	175	9	0	0	0	829
Alison	2802	198	365	187	1413	201	234	6389	380	127	0	84	12380
AlisonW	493	11	0	0	57	5	2	128	10	0	0	0	706
AlistairMcMillan	264	22	0	0	18	1	1	65	4	0	0	0	375
AliveFreeHappy	222	1	0	0	3	0	0	6	0	0	0	0	232
Alkivar	2396	136	0	0	252	27	9	470	41	0	0	0	3331
Allen3	11468	80	7	0	406	55	18	150	5	0	0	1	12190
AllyUnion	2242	47	0	0	100	11	1	39	11	1	0	0	2452
Alphachimp	6552	108	0	0	292	146	1	3927	118	2	0	0	11146
Altenmann	5195	267	0	0	287	65	24	1303	100	5	0	0	7246
Alteripse	2	0	0	0	3	1	0	14	1	0	0	0	21
Alvestrand	469	30	0	0	8	4	0	56	4	2	0	0	573
Amalas	1220	2	0	0	4	52	0	0	0	0	0	0	1278
Amalthea	4202	203	11	0	170	111	103	676	71	92	0	106	5745
Amatulic	1771	29	12	0	307	8	67	944	31	39	0	12	3220
Amberrock	550	7	0	0	19	3	0	115	9	0	0	0	703
Amcaja	54	3	0	0	0	1	0	58	2	0	0	0	118
Ameliorate!	390	6	0	0	46	3	2	127	8	1	0	2	585
AmiDaniel	2805	138	0	0	165	44	2	752	126	1	0	1	4034
Amire80	448	44	0	0	10	2	1	36	5	1	0	1	548
Amophar	0	0	0	0	1	0	0	0	0	0	0	0	1
Amorymeltzer	4276	78	6	0	40	7	6	425	8	23	0	47	4916
Ams80	12	0	0	0	0	0	0	0	0	0	0	0	12
Anas Salloum	665	5	0	0	1	0	0	351	2	0	0	0	1024
Ancheta Wis	17	3	1	0	3	0	1	10	0	0	0	0	35
Andonic	435	29	0	0	341	36	50	1366	52	0	0	4	2313
Andre Engels	2	0	0	0	0	0	0	1	0	0	0	0	3
Andres	3	4	0	0	1	0	0	0	0	0	0	0	8
Andrevan	713	93	1	0	23	12	0	92	30	1	1229	69	2263
Andrew Gray	1429	152	2	0	160	6	8	41	18	0	0	10	1826
Andrew Levine	718	15	0	0	19	2	0	35	6	0	0	0	795
Andrew Norman	48	1	0	0	27	2	0	75	7	0	0	0	160
Andrew Yong	24	7	0	0	0	0	0	0	0	0	0	0	31
Andrew c	1449	65	4	0	39	3	2	125	8	2	0	3	1700
Andrewa	262	14	0	0	1	0	0	1	0	0	0	0	278
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8445	117	2	0	86	55	11	133	2	1	0	0	8852
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	3143	455	126	0	236	60	17	352	2	17	0	1	4409
Anetode	9537	359	1	0	263	14	8	1292	61	0	0	8	11543
AngelOfSadness	1429	5	0	0	59	2	6	158	14	1	0	0	1674
Angela	2358	44	0	0	5	2	0	59	30	0	158	7	2663
Angelo.romano	1108	122	0	0	163	20	16	90	2	2	0	0	1523
Angr	34516	217	3	0	223	55	35	825	30	5	0	0	35909
Angusmclellan	20881	228	3	0	14	2	1	74	10	2	0	17	21232
AniMate	313	10	20	0	24	3	1	148	13	18	0	3	553
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
Anomie	131	8	4	0	134	0	72	13	5	9357	0	1	9725
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1515	45	0	0	385	34	59	502	14	7	719	68	3348
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7705	27	24	0	447	59	44	5856	357	109	0	5	14633
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	33762	6586	0	0	130	10	35	1	0	0	0	0	40524
Anthony Bradbury	20460	91	3	0	91	3	5	1835	43	50	0	7	22588
AntiAbuseBot	54	0	7	0	0	0	46	1105	2	21	0	0	1235
AntonioMartin	11	6	0	0	13	5	2	5	18	0	0	0	60
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
