User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andrew c	1444	65	4	0	39	3	1	125	8	2	0	3	1694
Andrewa	163	7	0	0	0	0	0	0	0	0	0	0	170
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8226	109	0	0	81	55	10	132	2	1	0	0	8616
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	2716	335	88	0	215	58	16	332	2	16	0	1	3779
Anetode	9349	355	0	0	259	14	8	1285	61	0	0	8	11339
AngelOfSadness	1037	2	0	0	44	2	5	134	14	1	0	0	1239
Angela	2329	43	0	0	5	2	0	59	30	0	158	7	2633
Angelo.romano	1079	121	0	0	155	19	15	90	2	2	0	0	1483
Angr	34460	214	2	0	212	52	34	803	29	4	0	0	35810
Angusmclellan	20825	228	3	0	14	2	1	74	10	2	0	17	21176
AniMate	291	7	18	0	18	2	1	129	13	17	0	3	499
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1494	45	0	0	385	34	59	502	14	7	694	65	3299
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7638	27	14	0	433	57	42	5710	354	91	0	3	14369
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	31164	5221	0	0	112	9	29	1	0	0	0	0	36536
Anthony Bradbury	18264	85	2	0	76	3	5	1776	42	41	0	5	20299
AntiAbuseBot	54	0	7	0	0	0	46	1102	2	21	0	0	1232
AntonioMartin	9	5	0	0	7	3	0	5	18	0	0	0	47
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	224	29	0	0	76	6	29	55	2	0	0	8	429
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	1559	201	0	0	10	1	2	0	0	0	0	114	1887
Arcadian	290	33	0	0	33	1	0	76	4	0	0	0	437
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	292	67	0	0	19	5	3	25	1	1	0	2	415
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	557	6	0	0	117	23	0	402	14	1	0	0	1120
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	6	1	1	0	0	268
Arsenikk	169	2	0	0	1	0	0	1	0	0	0	1	174
Art LaPella	76	2	0	0	0	0	0	0	0	0	0	0	78
Arthur Rubin	510	57	39	0	47	10	6	414	49	13	0	2	1147
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	39	8	0	677	39	1	0	0	920
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	95	7	0	0	69	8	3	123	15	0	0	0	320
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	1654	29	16	0	12	6	0	93	13	5	0	0	1828
Athaenara	71222	249	0	0	31	2	2	44	6	1	0	0	71557
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3042	223	6	0	512	68	53	1147	140	25	0	20	5236
Audacity	22	2	0	0	2	1	0	1	1	0	0	0	29
Aude	1188	39	0	0	48	11	5	518	17	0	0	2	1828
