User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andrew Yong	24	7	0	0	0	0	0	0	0	0	0	0	31
Andrew c	1445	65	4	0	39	3	1	125	8	2	0	3	1695
Andrewa	164	8	0	0	0	0	0	0	0	0	0	0	172
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8284	111	0	0	84	55	10	133	2	1	0	0	8680
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	2810	345	109	0	221	58	16	342	2	16	0	1	3920
Anetode	9353	355	0	0	259	14	8	1285	61	0	0	8	11343
AngelOfSadness	1037	2	0	0	44	2	5	134	14	1	0	0	1239
Angela	2329	43	0	0	5	2	0	59	30	0	158	7	2633
Angelo.romano	1079	121	0	0	155	19	15	90	2	2	0	0	1483
Angr	34461	214	2	0	214	52	35	810	29	5	0	0	35822
Angusmclellan	20836	228	3	0	14	2	1	74	10	2	0	17	21187
AniMate	291	7	18	0	18	2	1	129	13	17	0	3	499
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1502	45	0	0	385	34	59	502	14	7	701	65	3314
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7640	27	14	0	433	57	42	5713	354	91	0	3	14374
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	31445	5373	0	0	116	9	29	1	0	0	0	0	36973
Anthony Bradbury	18432	85	2	0	76	3	5	1785	42	41	0	5	20476
AntiAbuseBot	54	0	7	0	0	0	46	1102	2	21	0	0	1232
AntonioMartin	9	5	0	0	7	3	0	5	18	0	0	0	47
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	224	29	0	0	76	6	29	55	2	0	0	8	429
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	1559	201	0	0	10	1	2	0	0	0	0	114	1887
Arcadian	303	33	0	0	33	1	0	76	4	0	0	0	450
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	292	67	0	0	19	5	3	25	1	1	0	2	415
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	557	6	0	0	117	23	0	402	14	1	0	0	1120
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	6	1	1	0	0	268
Arsenikk	176	2	0	0	1	0	0	1	0	0	0	1	181
Art LaPella	76	2	0	0	0	0	0	0	0	0	0	0	78
Arthur Rubin	515	57	40	0	47	10	6	418	49	13	0	2	1157
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	39	8	0	677	39	1	0	0	920
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	95	7	0	0	69	8	3	123	15	0	0	0	320
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	1787	30	19	0	18	7	0	110	22	8	0	0	2001
Athaenara	77495	280	0	0	31	2	2	45	6	1	0	0	77862
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3060	223	6	0	512	68	53	1147	140	25	0	20	5254
Audacity	23	2	0	0	2	1	0	1	1	0	0	0	30
Aude	1188	39	0	0	48	11	5	518	17	0	0	2	1828
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	0	0	0	1	0	0	0	0	29
Avraham	1649	160	107	208	209	42	21	1345	135	85	496	150	4607
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
AxelBoldt	44	6	0	0	9	1	0	0	0	0	0	0	60
AzaToth	1803	131	7	0	122	43	34	170	26	1	0	8	2345
B	14934	244	30	0	324	28	37	881	106	12	0	13	16609
BD2412	4958	2922	4	0	58	15	3	237	24	3	0	0	8224
BOZ	32	385	0	0	44	4	9	2	0	0	0	0	476
Babajobu	297	2	0	0	1	1	0	19	3	0	0	0	323
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bahamut0013	1	0	0	0	1	0	0	0	0	0	0	1	3
Balloonman	367	15	0	0	14	2	2	53	8	4	0	2	467
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2267	69	1	0	204	245	6	412	11	0	0	0	3215
Barek	199	14	44	0	100	1	18	368	6	42	0	0	792
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Bastique	362	95	9	3	48	8	5	121	51	0	11	51	764
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	9	0	0	10	1	0	67	10	0	2	1	231
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	263	18	0	0	26	8	3	30	0	0	0	0	348
Bearcat	7089	351	12	0	226	18	9	93	8	2	0	0	7808
Bearian	1585	22	0	0	332	6	7	768	38	3	0	1	2762
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	4789	35	67	1	670	19	81	1602	191	228	0	10	7693
Beetstra	1057	101	7	0	130	25	19	643	44	25	0	2	2053
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	197	1	0	0	14	12	1	11	0	0	0	0	236
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	770	7	0	0	9	0	0	24	1	0	0	0	811
Bencherlite	4832	142	20	0	228	8	23	623	10	16	0	16	5918
Berig	28	0	0	0	2	0	2	10	0	0	0	2	44
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bettia	623	17	0	0	21	2	0	11	1	2	0	0	677
Bhadani	1305	7	0	0	95	19	1	478	10	0	0	0	1915
Bibliomaniac15	4271	28	0	0	233	34	24	1450	23	5	925	66	7059
BigDom	410	3	0	0	1	0	0	0	0	0	0	0	414
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	960	10	0	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	529	9	0	0	2	1	1	81	4	2	0	1	630
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1299	9	0	0	3	0	0	5	1	3	0	2	1322
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
