User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11930	38	0	0	50	2	0	1733	42	0	0	0	13795
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	540	8	0	0	33	6	0	132	13	0	0	0	732
28bytes	1352	20	36	0	28	1	7	91	8	16	0	7	1566
2over0	1090	55	29	0	181	10	48	224	19	5	0	8	1669
5 albert square	901	11	458	0	150	8	44	568	11	78	0	6	2235
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	1460	47	198	0	69	2	20	2302	20	60	0	47	4225
7SeriesBOT	6345	0	0	0	0	0	0	0	0	0	0	0	6345
@pple	575	51	0	0	7	1	0	84	9	0	0	0	727
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	167	621	0	0	198	4	5	963	39	57	0	0	2054
AA	909	7	0	0	2	2	1	14	2	0	0	0	937
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2456	215	36	67	3933	68	3623	1052	94	63	0	73	11680
AKeen	11	7	0	0	15	1	3	3	0	0	0	0	40
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1111	36	0	0	42	81	1	140	14	0	0	0	1425
Aaron Schulz	5641	84	1	0	489	2115	6	1046	107	0	0	6	9495
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	20078	39	0	0	183	34	0	2690	22	5	0	0	23051
Acalamari	6322	75	13	0	3009	73	233	1428	115	18	0	1535	12821
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acdixon	179	0	8	0	12	0	1	1	0	0	0	0	201
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
