User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andrew Gray	1478	152	3	0	173	6	10	43	20	0	0	12	1897
Andrew Levine	718	15	0	0	19	2	0	36	6	0	0	0	796
Andrew Norman	48	1	0	0	27	2	0	75	7	0	0	0	160
Andrew Yong	24	7	0	0	0	0	0	0	0	0	0	0	31
Andrew c	1449	65	4	0	39	3	2	125	8	2	0	3	1700
Andrewa	262	14	0	0	1	0	0	2	0	0	0	0	279
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8506	117	2	0	86	55	11	133	2	1	0	0	8913
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	3164	462	144	0	239	60	17	356	2	17	0	1	4462
Anetode	9585	364	1	0	263	14	8	1292	61	0	0	8	11596
AngelOfSadness	1448	5	0	0	59	2	6	158	14	1	0	0	1693
Angela	2360	44	0	0	5	2	0	59	30	0	158	7	2665
Angelo.romano	1109	122	0	0	163	20	16	90	2	2	0	0	1524
Angr	34521	217	3	0	225	55	35	826	30	5	0	0	35917
Angusmclellan	20881	228	3	0	14	2	1	74	10	2	0	17	21232
AniMate	314	10	20	0	24	3	1	154	13	18	0	3	560
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
Anomie	181	9	4	0	135	0	73	19	6	9357	0	1	9785
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1515	45	0	0	385	34	59	502	14	7	721	68	3350
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7718	27	24	0	447	59	44	5881	357	110	0	5	14672
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	34346	6810	0	0	136	10	35	1	0	0	0	0	41338
Anthony Bradbury	21037	96	3	0	103	3	5	1854	44	54	0	9	23208
AntiAbuseBot	54	0	7	0	0	0	46	1105	2	21	0	0	1235
AntonioMartin	11	6	0	0	13	5	2	5	18	0	0	0	60
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	250	30	0	0	76	6	29	55	2	0	0	8	456
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	2386	307	0	0	58	2	11	0	0	0	0	117	2881
Arcadian	348	33	0	0	33	1	0	79	5	0	0	0	499
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	635	67	0	0	35	5	5	26	1	3	0	3	780
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	567	6	0	0	118	23	0	422	14	3	0	0	1153
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	287	3	0	0	7	2	2	8	2	1	0	0	312
Arsenikk	499	2	0	0	2	0	0	1	0	0	0	1	505
Art LaPella	78	2	0	0	0	0	0	0	0	0	0	0	80
Arthur Rubin	561	61	59	0	52	11	6	484	52	17	0	2	1305
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	43	8	0	686	39	1	0	0	933
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	97	7	0	0	72	8	3	126	15	0	0	1	329
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	2667	48	27	0	41	7	3	200	85	23	0	1	3102
Athaenara	111955	435	0	0	36	2	2	54	6	2	0	0	112492
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3072	225	6	0	512	68	53	1164	143	26	0	20	5289
Audacity	23	2	0	0	2	1	0	1	1	0	0	0	30
Aude	1195	41	0	0	48	11	6	519	17	1	0	2	1840
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	1	0	0	1	0	0	0	0	30
Avraham	1679	161	114	220	214	42	23	1384	138	87	515	164	4741
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
