User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11930	38	0	0	50	2	0	1733	42	0	0	0	13795
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	540	8	0	0	33	6	0	132	13	0	0	0	732
28bytes	1360	21	36	0	28	1	7	96	10	18	0	8	1585
2over0	1090	55	29	0	182	10	48	226	19	5	0	8	1672
5 albert square	915	12	474	0	152	8	46	588	11	81	0	6	2293
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	1460	47	201	0	69	2	20	2303	20	60	0	47	4229
7SeriesBOT	6351	0	0	0	0	0	0	0	0	0	0	0	6351
@pple	575	51	0	0	7	1	0	84	9	0	0	0	727
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	167	621	0	0	198	4	5	963	39	57	0	0	2054
AA	909	7	0	0	2	2	1	14	2	0	0	0	937
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2462	221	36	67	3944	68	3624	1147	96	70	0	76	11811
AKeen	11	7	0	0	15	1	3	3	0	0	0	0	40
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1111	36	0	0	42	81	1	140	14	0	0	0	1425
Aaron Schulz	5641	84	1	0	489	2115	6	1046	107	0	0	6	9495
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	20078	39	0	0	183	34	0	2690	22	5	0	0	23051
Acalamari	6322	75	14	0	3015	73	236	1439	117	18	0	1540	12849
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acdixon	180	0	9	0	12	0	1	2	0	0	0	0	204
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
