User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Andrew Gray	1481	152	3	0	177	7	10	44	20	1	0	12	1907
Andrew Levine	718	15	0	0	19	2	0	36	6	0	0	0	796
Andrew Norman	48	1	0	0	27	2	0	75	7	0	0	0	160
Andrew Yong	24	7	0	0	0	0	0	0	0	0	0	0	31
Andrew c	1449	65	4	0	39	3	2	125	8	2	0	3	1700
Andrewa	305	18	0	0	1	0	0	5	0	0	0	0	329
Andris	17	0	0	0	0	0	0	0	0	0	0	0	17
Android79	3349	27	0	0	56	13	0	260	29	0	0	0	3734
Andrwsc	8572	119	2	0	86	55	11	133	2	1	0	0	8981
AndyZ	912	12	0	0	0	0	0	113	4	0	0	0	1041
AnemoneProjectors	3232	484	148	0	256	60	18	372	3	17	0	1	4591
Anetode	9603	366	1	0	263	14	8	1292	61	0	0	8	11616
AngelOfSadness	1448	5	0	0	59	2	6	158	14	1	0	0	1693
Angela	2360	44	0	0	5	2	0	59	30	0	158	7	2665
Angelo.romano	1109	122	0	0	163	20	16	90	2	2	0	0	1524
Angr	34522	217	3	0	227	55	35	829	30	5	0	0	35923
Angusmclellan	20881	228	3	0	14	2	1	74	10	2	0	17	21232
AniMate	315	10	28	0	24	3	1	154	13	18	0	3	569
Animum	1926	276	2	0	227	29	56	1714	319	4	0	28	4581
Anomie	201	9	4	0	138	1	75	22	6	9357	0	1	9814
AnonEMouse	146	26	0	0	30	4	2	122	9	0	0	0	339
Anonymous Dissident	1515	45	0	0	385	34	59	502	14	7	721	68	3350
Anonymous editor	481	1	0	0	57	16	0	431	32	0	0	0	1018
Antandrus	7721	27	24	0	447	59	44	5887	357	110	0	5	14681
Anthere	38	1	0	0	4	4	0	4	2	0	0	2	55
Anthony Appleyard	35082	7074	0	0	150	10	38	1	0	0	0	0	42355
Anthony Bradbury	22488	106	4	0	120	3	5	1903	45	56	0	9	24739
AntiAbuseBot	54	0	7	0	0	0	46	1105	2	21	0	0	1235
AntonioMartin	11	6	0	0	13	5	2	5	18	0	0	0	60
Apokryltaros	0	0	0	0	1	0	0	0	0	0	0	0	1
Appraiser	323	6	0	0	5	0	0	1	0	0	0	0	335
Aqwis	250	30	0	0	76	6	29	55	2	0	0	8	456
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	2401	307	0	0	58	2	11	0	0	0	0	117	2896
Arcadian	348	33	0	0	33	1	0	79	5	0	0	0	499
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	657	67	1	0	39	5	5	27	1	3	0	3	808
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	567	6	0	0	118	23	0	422	14	3	0	0	1153
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	287	3	0	0	7	2	2	8	2	1	0	0	312
Arsenikk	500	2	0	0	2	0	0	1	0	0	0	1	506
Art LaPella	78	2	0	0	0	0	0	0	0	0	0	0	80
Arthur Rubin	566	63	59	0	52	11	6	504	52	18	0	2	1333
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	43	8	0	686	39	1	0	0	933
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	97	7	0	0	72	8	3	126	15	0	0	1	329
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	2667	50	27	0	41	7	3	200	86	23	0	1	3105
Athaenara	112306	439	0	0	36	2	2	54	6	2	0	0	112847
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3077	226	6	0	513	68	53	1181	143	27	0	20	5314
Audacity	29	4	0	0	2	1	0	2	1	0	0	0	39
Aude	1200	41	0	0	48	11	6	519	17	1	0	2	1845
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	1	0	0	1	0	0	0	0	30
Avraham	1684	162	115	220	214	42	23	1401	138	87	523	166	4775
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
AxelBoldt	51	8	0	0	10	1	0	0	0	0	0	0	70
AzaToth	1909	133	8	0	125	43	37	175	26	1	0	8	2465
B	15281	262	32	0	334	29	38	886	106	12	0	13	16993
BD2412	6404	3762	4	0	62	17	3	253	25	6	0	1	10537
BOZ	57	629	0	0	72	6	14	3	0	0	0	0	781
Babajobu	298	3	0	0	1	1	0	21	3	2	0	0	329
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bagumba	8	1	0	0	71	3	23	41	6	2	0	0	155
Bahamut0013	1	0	0	0	1	0	0	0	0	0	0	1	3
Bald Zebra	698	17	0	0	33	2	0	11	1	2	0	0	764
Balloonman	370	16	0	0	14	2	2	53	9	4	0	2	472
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2270	69	1	0	204	245	6	412	11	0	0	0	3218
Barek	655	24	109	0	266	3	41	931	12	91	0	0	2132
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Barras	1	0	0	0	0	0	0	7	0	0	0	0	8
Basalisk	256	4	7	0	15	1	2	60	1	11	0	1	358
Bastique	365	97	9	3	48	8	5	121	51	0	11	51	769
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bbb23	1412	2	8	0	149	6	17	585	10	35	0	0	2224
Bcorr	132	9	0	0	13	1	0	73	10	0	2	1	241
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	266	19	0	0	32	9	3	33	0	0	0	0	362
Bearcat	8774	583	22	0	301	24	11	100	8	2	0	0	9825
Bearian	1808	22	0	0	378	7	12	830	40	5	0	1	3103
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	6633	75	166	1	907	28	118	2134	261	295	0	12	10630
Beetstra	1160	118	10	0	150	30	22	896	57	44	0	2	2489
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	201	1	0	0	14	12	1	12	0	0	0	0	241
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	1129	8	0	0	24	0	1	35	1	0	0	0	1198
Bencherlite	6327	196	89	0	341	16	40	704	10	25	0	20	7768
Bencmq	2	1	0	0	0	0	0	0	0	0	0	0	3
Bennylin	1	0	0	0	0	0	0	0	0	0	0	0	1
Berean Hunter	28	16	4	0	71	2	18	635	4	51	0	0	829
Berig	38	0	0	0	2	0	2	10	0	0	0	2	54
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bgwhite	49	2	0	0	1	0	0	0	0	0	0	0	52
Bhadani	1314	7	0	0	98	19	1	479	10	1	0	0	1929
Bibliomaniac15	4446	28	0	0	248	37	25	1502	23	6	1002	77	7394
BigDom	531	8	0	0	1	0	0	0	0	0	0	0	540
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	964	10	0	0	2	0	0	1	0	0	0	0	977
Bigtimepeace	566	9	0	0	5	1	1	81	4	2	0	1	670
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1453	14	29	0	15	0	0	325	17	18	0	9	1880
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	176	7	0	0	0	0	0	2	1	0	0	1	187
Bishonen	656	78	0	0	219	49	12	596	210	5	0	5	1830
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	94	0	0	0	2	1	0	41	4	0	0	0	142
Bjelleklang	946	13	3	0	15	1	5	37	3	7	0	0	1030
Bkell	1473	31	8	0	16	2	0	3	0	0	0	0	1533
Bkonrad	1001	186	10	0	11	0	0	163	2	0	0	0	1373
Black Falcon	6523	88	1	0	3	1	0	29	1	0	0	0	6646
